sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0,0,26.557772441590767,3065.0,15.0,0.006,0.0,220.2,9.62688e-07
1,5232,26.745947707254857,3065.0,15.0,0.006,0.00020080156119851042,220.2,9.62688e-07
2,10464,26.913827612905607,3065.0,15.0,0.006,0.0004030259031369115,220.2,9.62688e-07
3,15696,27.051024438294267,3065.0,15.0,0.006,0.0006065195739402492,220.2,9.62688e-07
4,20928,27.14907902426079,3065.0,15.0,0.006,0.0008110505808676956,220.2,9.62688e-07
5,26160,27.20199229528528,3065.0,15.0,0.006,0.0010163229720354075,220.2,9.62688e-07
6,31392,27.206602205946563,3065.0,15.0,0.006,0.001221995436946247,220.2,9.62688e-07
7,36624,27.16278242635539,3065.0,15.0,0.006,0.0014277027570867489,220.2,9.62688e-07
8,41856,27.07345028242605,3065.0,15.0,0.006,0.0016330787587715092,220.2,9.62688e-07
9,47088,26.944383452069832,3065.0,15.0,0.006,0.001837779326023443,220.2,9.62688e-07
10,52320,26.78385693496266,3065.0,15.0,0.006,0.002041504027506082,220.2,9.62688e-07
11,57552,26.602123106411746,3065.0,15.0,0.006,0.002244014998608292,220.2,9.62688e-07
12,62784,26.41076752544881,3065.0,15.0,0.006,0.0024451518922506596,220.2,9.62688e-07
13,68016,26.2219809740969,3065.0,15.0,0.006,0.0026448419589994725,220.2,9.62688e-07
14,73248,26.04779346826067,3065.0,15.0,0.006,0.0028431046231177327,220.2,9.62688e-07
15,78480,25.899318370153285,3065.0,15.0,0.006,0.0030400502670231673,220.2,9.62688e-07
16,83712,25.786054097455935,3065.0,15.0,0.006,0.0032358733005302853,220.2,9.62688e-07
17,88944,25.71528730539182,3065.0,15.0,0.006,0.0034308399503615635,220.2,9.62688e-07
18,94176,25.691635041979836,3065.0,15.0,0.006,0.0036252715371577647,220.2,9.62688e-07
19,99408,25.71675464453716,3065.0,15.0,0.006,0.0038195242907544027,220.2,9.62688e-07
20,104640,25.789239605700597,3065.0,15.0,0.006,0.004013966972004849,220.2,9.62688e-07
21,109872,25.9047079520874,3065.0,15.0,0.006,0.004208957707253312,220.2,9.62688e-07
22,115104,26.056077582439467,3065.0,15.0,0.006,0.004404821491033027,220.2,9.62688e-07
23,120336,26.23401126474267,3065.0,15.0,0.006,0.0046018297705779495,220.2,9.62688e-07
24,125568,26.427503331515787,3065.0,15.0,0.006,0.004800183394928234,220.2,9.62688e-07
25,130800,26.624571209046287,3065.0,15.0,0.006,0.005000000000000001,220.2,9.62688e-07
