sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0,0,119.8954241929999,4120.0,4.0,0.013,0.0,249.9,1.0718e-06
1,5825,119.11897284778588,4120.0,4.0,0.013,0.0002691379715758283,249.9,1.0718e-06
2,11650,118.64840246047102,4120.0,4.0,0.013,0.000536532986391757,249.9,1.0718e-06
3,17475,118.57335350963022,4120.0,4.0,0.013,0.0008028716776625793,249.9,1.0718e-06
4,23300,118.93594019725138,4120.0,4.0,0.013,0.0010690419010995862,249.9,1.0718e-06
5,29125,119.72567183369856,4120.0,4.0,0.013,0.001336026049223741,249.9,1.0718e-06
6,34950,120.8807191543147,4120.0,4.0,0.013,0.001604782965342615,249.9,1.0718e-06
7,40775,122.29537283122183,4120.0,4.0,0.013,0.0018761327001202257,249.9,1.0718e-06
8,46600,123.83279457374864,4120.0,4.0,0.013,0.0021506580108103263,249.9,1.0718e-06
9,52425,125.34152284661761,4120.0,4.0,0.013,0.0024286344838114603,249.9,1.0718e-06
10,58250,126.67374237270946,4120.0,4.0,0.013,0.002709997708807111,249.9,1.0718e-06
11,64075,127.7031138487719,4120.0,4.0,0.013,0.0029943514637863658,249.9,1.0718e-06
12,69900,128.3400133472496,4120.0,4.0,0.013,0.0032810159237231296,249.9,1.0718e-06
13,75725,128.54234330749588,4120.0,4.0,0.013,0.0035691100782480876,249.9,1.0718e-06
14,81550,128.32061115130193,4120.0,4.0,0.013,0.003857658417538279,249.9,1.0718e-06
15,87375,127.73666296678991,4120.0,4.0,0.013,0.004145709018544021,249.9,1.0718e-06
16,93200,126.89622499711108,4120.0,4.0,0.013,0.00443244878862404,249.9,1.0718e-06
17,99025,125.93615254051902,4120.0,4.0,0.013,0.004717301966518267,249.9,1.0718e-06
18,104850,125.00792423268636,4120.0,4.0,0.013,0.005000000000000001,249.9,1.0718e-06
