sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0,0,111.92317674539977,1939.0,4.0,0.0138,0.0,244.2,1.04972e-06
1,5705,111.42708150149754,1939.0,4.0,0.0138,0.00024606628570194433,244.2,1.04972e-06
2,11410,110.8108920313976,1939.0,4.0,0.0138,0.0004910418919077276,244.2,1.04972e-06
3,17115,110.1744831573118,1939.0,4.0,0.0138,0.0007346627880471494,244.2,1.04972e-06
4,22820,109.61990336423582,1939.0,4.0,0.0138,0.0009768845211857722,244.2,1.04972e-06
5,28525,109.24138653902551,1939.0,4.0,0.0138,0.0012178869948843418,244.2,1.04972e-06
6,34230,109.1161286614848,1939.0,4.0,0.0138,0.0014580572885826328,244.2,1.04972e-06
7,39935,109.29673228922753,1939.0,4.0,0.0138,0.0016979521992764595,244.2,1.04972e-06
8,45640,109.80605842280004,1939.0,4.0,0.0138,0.0019382441721798767,244.2,1.04972e-06
9,51345,110.63498968639902,1939.0,4.0,0.0138,0.002179655913066508,244.2,1.04972e-06
10,57050,111.74332377966432,1939.0,4.0,0.0138,0.0024228900829000952,244.2,1.04972e-06
11,62755,113.06370974328348,1939.0,4.0,0.0138,0.0026685609567442107,244.2,1.04972e-06
12,68460,114.50824172932887,1939.0,4.0,0.0138,0.002917134736663802,244.2,1.04972e-06
13,74165,115.97706483216943,1939.0,4.0,0.0138,0.0031688843612182574,244.2,1.04972e-06
14,79870,117.36815058128997,1939.0,4.0,0.0138,0.003423863235118372,244.2,1.04972e-06
15,85575,118.58728520269644,1939.0,4.0,0.0138,0.0036819004505821615,244.2,1.04972e-06
16,91280,119.5572929283111,1939.0,4.0,0.0138,0.003942617968167312,244.2,1.04972e-06
17,96985,120.22559151159703,1939.0,4.0,0.0138,0.004205468075311523,244.2,1.04972e-06
18,102690,120.56934036292378,1939.0,4.0,0.0138,0.004469787455888735,244.2,1.04972e-06
19,108395,120.59767736934039,1939.0,4.0,0.0138,0.004734862578087298,244.2,1.04972e-06
20,114100,120.3508254432755,1939.0,4.0,0.0138,0.005,244.2,1.04972e-06
