round_id,test_case,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,actual_epochs,best_score,final_lr,validation_mode,validation_file
round3b_capacity,Run7.xlsx,76.7486343383789,81.9610824584961,0.36853843927383423,0.8738035521682167,24539.96247191238,14533.749424829995,10006.213047082383,0.6884811864161768,1200.0,0.0002526247699279338,0.001,no_validation,
round3b_capacity,Run12.xlsx,47.27053451538086,47.840084075927734,0.33719688653945923,0.48968000691923347,11612.059880769453,15664.267528137914,4052.207647368461,0.2586911670200621,1200.0,0.00013250888150651008,0.001,no_validation,
round3b_capacity,Run15.xlsx,101.9262924194336,103.60494995117188,0.352096289396286,0.8070450492342716,40910.644291616336,22894.62099053632,18016.023301080015,0.7869107467875134,1200.0,0.00017384329112246633,0.001,no_validation,
round3b_capacity,Run11.xlsx,7.960406303405762,8.823038101196289,0.08448324352502823,0.03302634366174517,22979.79889913389,23918.706127369696,938.9072282358065,0.03925409774408465,1200.0,0.00019770248036365956,0.001,no_validation,
round3b_capacity,Run16.xlsx,59.56239318847656,65.13005065917969,0.2691057324409485,0.4670512864745739,41480.31698813255,31328.193563571127,10152.123424561425,0.32405709585395504,1200.0,0.00020943595154676586,0.001,no_validation,
round3b_capacity,Run18.xlsx,240.83880615234375,240.9794158935547,3.5782928466796875,0.6441308373418759,20519.77474462797,35012.9039323269,14493.12918769893,0.41393679358076996,1200.0,0.00017200953152496368,0.001,no_validation,
round3b_capacity,Run6.xlsx,14.836088180541992,22.037139892578125,0.13882231712341309,0.5075869895689252,30173.029976109334,37604.83980051039,7431.809824401054,0.19762907816722536,1200.0,0.0002145045145880431,0.001,no_validation,
round3b_capacity,Run4.xlsx,26.528553009033203,26.614574432373047,0.15717221796512604,0.2606327332084146,45562.56094857992,38722.98916828896,6839.571780290964,0.17662819754348996,1200.0,0.0002998101117555052,0.001,no_validation,
round3b_capacity,Run8.xlsx,20.818199157714844,25.530288696289062,0.19306133687496185,0.08385675949053978,43429.86518878623,41489.80405662315,1940.0611321630786,0.046759949251998945,1200.0,0.00015865740715526044,0.001,no_validation,
round3b_capacity,Run5.xlsx,12.011556625366211,13.197175979614258,0.10654091089963913,0.2061330701019594,48325.15923287251,53661.08553598464,5335.92630311213,0.09943753932323836,1200.0,0.00019785432959906757,0.001,no_validation,
round3b_capacity,Run9.xlsx,14.338561058044434,15.209443092346191,0.20406293869018555,0.4828753329964349,67869.04834973905,55593.87418134841,12275.174168390644,0.22080084090467886,1200.0,0.00028096980531699955,0.001,no_validation,
round3b_capacity,Run10.xlsx,11.193238258361816,11.591407775878906,0.21684491634368896,0.3814893371117522,52250.3822640128,71205.57050271094,18955.188238698138,0.2662037268274745,1200.0,0.00015172646089922637,0.001,no_validation,
round3b_capacity,Run14.xlsx,12.8969087600708,14.574188232421875,0.14545747637748718,0.5140619762555928,45864.73527217165,72675.52147268367,26810.78620051202,0.36891081972613443,1200.0,0.00018656239262782037,0.001,no_validation,
round3b_capacity,Run13.xlsx,9.85621166229248,10.61903190612793,0.14031890034675598,0.5714158164889332,41006.082935869104,79652.95293344899,38646.86999757989,0.4851906749756009,1200.0,0.00021857475803699344,0.001,no_validation,
round3b_capacity,Run3.xlsx,28.104080200195312,36.29838562011719,0.28339701890945435,0.280191990047966,98768.04983099303,79663.5580372876,19104.491793705427,0.239814694000528,1200.0,0.0001736497797537595,0.001,no_validation,
round3b_capacity,Run2.xlsx,9.864253997802734,11.176530838012695,0.16149520874023438,0.5171672081632275,134797.84537443018,120776.6067253567,14021.238649073479,0.11609233798857639,1200.0,0.000212027138331905,0.001,no_validation,
round3b_capacity,Run1.xlsx,10.458250999450684,12.392613410949707,0.21313880383968353,0.7200400583954956,97038.0516713238,159673.07611040428,62635.02443908047,0.3922704188135772,1200.0,0.0002622861065901816,0.001,no_validation,
