round_id,test_case,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,actual_epochs,best_score,final_lr,validation_mode,validation_file
round1_training_strategy,Run7.xlsx,74.31627655029297,81.67008972167969,0.34939974546432495,1.0885323570230943,24474.474389377658,14533.749424829995,9940.724964547662,0.6839752546968065,223.0,0.021253308281302452,0.000125,with_validation,Run5.csv
round1_training_strategy,Run12.xlsx,20.642972946166992,22.920236587524414,0.1492733210325241,0.10169179655089118,14461.022539104759,15664.267528137914,1203.2449890331554,0.07681463476487183,277.0,0.016531337052583694,0.000125,with_validation,Run5.csv
round1_training_strategy,Run15.xlsx,124.7389144897461,134.94439697265625,0.4123798608779907,1.2648991468747952,48019.20571855192,22894.62099053632,25124.5847280156,1.0974012078383413,263.0,0.012287229299545288,0.000125,with_validation,Run5.csv
round1_training_strategy,Run11.xlsx,22.193208694458008,25.234167098999023,0.22984454035758972,0.1817531878337342,22090.036802646147,23918.706127369696,1828.669324723549,0.0764535219834086,230.0,0.004378942772746086,0.000125,with_validation,Run5.csv
round1_training_strategy,Run16.xlsx,60.92329025268555,68.09040832519531,0.2702171504497528,0.5601219899250363,42074.05806681428,31328.193563571127,10745.864503243152,0.3430093880592783,299.0,0.010152281261980534,0.000125,with_validation,Run5.csv
round1_training_strategy,Run18.xlsx,179.44091796875,181.02012634277344,2.7310380935668945,0.30946482508001266,25850.81009061033,35012.9039323269,9162.093841716574,0.26167763346408257,236.0,0.015597758814692497,0.000125,with_validation,Run5.csv
round1_training_strategy,Run6.xlsx,26.17635154724121,31.648786544799805,0.3512851893901825,0.31479336206932385,28901.16529359299,37604.83980051039,8703.6745069174,0.2314509130497418,230.0,0.0075963460840284824,0.000125,with_validation,Run5.csv
round1_training_strategy,Run4.xlsx,21.90351104736328,25.245996475219727,0.11814190447330475,0.36016477124520546,45213.54678857613,38722.98916828896,6490.557620287174,0.1676150978964822,277.0,0.023019440472126007,0.000125,with_validation,Run5.csv
round1_training_strategy,Run8.xlsx,25.03837013244629,32.76571273803711,0.21411998569965363,0.1307201561383272,35923.21863849975,41489.80405662315,5566.585418123403,0.13416755139470923,234.0,0.00755356065928936,0.000125,with_validation,Run5.csv
round1_training_strategy,Run5.xlsx,6.146611213684082,6.644790172576904,0.052809908986091614,0.08238426070366121,50804.904329998964,53661.08553598464,2856.1812059856748,0.05322630314793661,226.0,0.29659679532051086,0.000125,with_validation,Run8.csv
round1_training_strategy,Run9.xlsx,5.018626689910889,8.372236251831055,0.08503777533769608,0.052889373899782,53455.572526924305,55593.87418134841,2138.3016544241036,0.038462900560750954,688.0,0.02372376248240471,6.25e-05,with_validation,Run8.csv
round1_training_strategy,Run10.xlsx,26.472410202026367,28.103445053100586,0.5240000486373901,0.5959974811778873,40943.53727419873,71205.57050271094,30262.033228512206,0.4249953060534789,387.0,0.07952261716127396,0.000125,with_validation,Run8.csv
round1_training_strategy,Run14.xlsx,16.17843246459961,19.86522102355957,0.19277609884738922,0.7092637133165446,38570.593878996944,72675.52147268367,34104.92759368673,0.4692766821976729,338.0,0.041891369968652725,0.000125,with_validation,Run8.csv
round1_training_strategy,Run13.xlsx,3.252016305923462,4.393620014190674,0.05247201398015022,0.510784379242904,43800.78398477395,79652.95293344899,35852.16894867504,0.4501047058309309,779.0,0.045117076486349106,6.25e-05,with_validation,Run8.csv
round1_training_strategy,Run3.xlsx,29.675899505615234,33.13063430786133,0.3025982975959778,0.8029216846372549,46562.217616705064,79663.5580372876,33101.340420582535,0.4155142104635724,238.0,0.21016298234462738,0.000125,with_validation,Run8.csv
round1_training_strategy,Run2.xlsx,7.873820781707764,9.63410472869873,0.13692641258239746,0.2961519268827377,97665.67922632494,120776.6067253567,23110.927499031764,0.19135268100043162,314.0,0.030580807477235794,0.000125,with_validation,Run8.csv
round1_training_strategy,Run1.xlsx,13.310423851013184,15.020670890808105,0.2763899862766266,0.7770765991505287,90559.21628450381,159673.07611040428,69113.85982590046,0.43284604712013197,610.0,0.13332869112491608,3.125e-05,with_validation,Run8.csv
