round_id,test_case,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,actual_epochs,best_score,final_lr,validation_mode,validation_file
round2b_seq10_mild,Run7.xlsx,108.59703826904295,117.37305450439452,0.5155520439147949,1.4247777623403874,39070.01600881114,14533.749424829995,24536.26658398114,1.688226889481284,1800.0,0.0001921047223731,0.0005,no_validation,
round2b_seq10_mild,Run12.xlsx,55.13584518432617,55.44596481323242,0.3881967961788177,0.5671041632980703,11125.409284425326,15664.267528137914,4538.858243712588,0.2897587286197316,1800.0,0.0002224887139163,0.0005,no_validation,
round2b_seq10_mild,Run15.xlsx,178.6360321044922,180.23252868652344,0.6222292184829712,1.44110124728816,71091.14043754447,22894.62099053632,48196.51944700815,2.1051459845930878,1800.0,0.0002451585023663,0.0005,no_validation,
round2b_seq10_mild,Run11.xlsx,11.623476028442385,16.11507797241211,0.1446757018566131,0.1546744861896421,20632.443251775923,23918.706127369696,3286.262875593773,0.1373930035384885,1800.0,0.0002840910456143,0.0005,no_validation,
round2b_seq10_mild,Run16.xlsx,20.276445388793945,35.149139404296875,0.0894711464643478,0.1024618755166855,29400.87403419655,31328.193563571127,1927.319529374577,0.061520289239265,1800.0,0.0002537719847168,0.0005,no_validation,
round2b_seq10_mild,Run18.xlsx,281.3779296875,281.6803894042969,4.140956401824951,0.8171586211364129,18433.893790096903,35012.9039323269,16579.01014223,0.4735114280801725,1800.0,0.0002012145123444,0.0005,no_validation,
round2b_seq10_mild,Run6.xlsx,14.454182624816896,17.268646240234375,0.1601717472076416,0.3122132455301134,36367.4176299768,37604.83980051039,1237.4221705335876,0.0329059285213812,1800.0,0.0003252695605624,0.0005,no_validation,
round2b_seq10_mild,Run4.xlsx,38.67144012451172,39.433876037597656,0.2233951091766357,0.4717705774296994,48740.30241590248,38722.98916828896,10017.313247613522,0.2586916315803663,1800.0,0.0003061562601942,0.0005,no_validation,
round2b_seq10_mild,Run8.xlsx,10.962526321411133,12.469621658325195,0.1129036322236061,0.1065112012511882,44376.84084213366,41489.80405662315,2887.036785510507,0.0695842472905012,1800.0,0.0002182350872317,0.0005,no_validation,
round2b_seq10_mild,Run5.xlsx,12.451600074768066,16.949918746948242,0.1108435466885566,0.2091349654818775,48954.65592674448,53661.08553598464,4706.429609240164,0.0877065672867179,1800.0,0.0002525861491449,0.0005,no_validation,
round2b_seq10_mild,Run9.xlsx,8.19913387298584,9.379409790039062,0.1070690527558326,0.3575882922490596,65072.44075896318,55593.87418134841,9478.566577614773,0.1704966008790012,1800.0,0.0002035118959611,0.0005,no_validation,
round2b_seq10_mild,Run10.xlsx,13.234905242919922,13.897924423217772,0.2705284059047699,0.3795877832506917,51345.476193565046,71205.57050271094,19860.09430914589,0.2789120874804279,1800.0,0.0002667546796146,0.0005,no_validation,
round2b_seq10_mild,Run14.xlsx,5.1454620361328125,5.8898749351501465,0.0704833343625068,0.5521586165868755,42079.10845763556,72675.52147268367,30596.413015048118,0.4210002542128067,1800.0,0.000230861158343,0.0005,no_validation,
round2b_seq10_mild,Run13.xlsx,5.052171230316162,5.305100917816162,0.06895281374454498,0.4995884316388634,43643.626844364,79652.95293344899,36009.32608908499,0.45207772923586675,1800.0,0.0002407148713245988,0.0005,no_validation,
round2b_seq10_mild,Run3.xlsx,25.68268585205078,33.821224212646484,0.2573249638080597,0.2211315451193948,93950.8091983205,79663.5580372876,14287.251161032895,0.1793448788007379,1800.0,0.00020567610044963658,0.0005,no_validation,
round2b_seq10_mild,Run2.xlsx,11.101747512817383,12.250086784362793,0.1903148740530014,0.3442670974146664,125760.59951740345,120776.6067253567,4983.992792046745,0.04126620979988478,1800.0,0.00024294975446537137,0.0005,no_validation,
round2b_seq10_mild,Run1.xlsx,10.418197631835938,11.529229164123535,0.20893961191177368,0.6561544950456946,103303.77427584038,159673.07611040428,56369.3018345639,0.3530294725178836,1800.0,0.00023405997490044683,0.0005,no_validation,
