round_id,description,seq_len,d_model,num_layers,dim_ff,dropout,epochs,learning_rate,weight_decay,grad_clip_norm,use_validation,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_actual_epochs
round4_seq15,seq_len=15 final combo,15,64,2,128,0.0,1200,0.001,1e-06,,False,40.33564414697535,42.62411945006426,0.3968719141009976,0.4533863974879526,15511.339972785003,6742.0923211463305,0.3250898215612349,59929.75691098705,1416.0445150191808,1200.0
round3b_capacity,"seq_len=10, d_model=64, ff=256, 3 layers",10,64,3,256,0.0,1200,0.001,1e-06,,False,41.48311581331141,43.97525888330796,0.4088250284685808,0.4611875498605387,15979.690962531433,12275.174168390644,0.30123937440735793,62635.02443908047,938.9072282358065,1200.0
round3_capacity,"seq_len=10, d_model=64, ff=128, 2 layers",10,64,2,128,0.0,1200,0.001,1e-06,,False,40.81493818058687,43.75395570081823,0.3946570252232692,0.4584920923051258,16572.818900930786,14264.802961435056,0.3747616579161632,60255.95133367862,950.3753698256405,1200.0
round2b_seq10_mild,seq_len=10 + mild training strategy,10,32,2,64,0.0,1800,0.0005,1e-05,1.0,False,47.70710701100967,50.83476868797751,0.4518828470917309,0.5069049651039695,17029.257906666782,10017.313247613522,0.41768070183280026,56369.3018345639,1237.4221705335876,1800.0
round1b_no_val,regularization branch without validation split,6,32,2,64,0.1,3000,0.0005,0.0001,1.0,False,44.770368463852826,48.13651814180262,0.4106916903572924,0.4555397241399221,18119.61795191988,6065.75973717367,0.4480864281697794,77017.3677892864,257.72442090020195,3000.0
round1_training_strategy,validation+regularization branch,6,32,2,64,0.1,3000,0.0005,0.0001,1.0,True,39.01776792021359,42.86497901467716,0.3793359019738786,0.4788006477501013,18194.455310200363,9940.724964547662,0.3263731787954487,69113.85982590046,1203.2449890331554,344.05882352941177
round2_seq10,seq_len=10,10,32,2,64,0.0,1200,0.001,1e-06,,False,48.75543395210715,51.43141373466043,0.4897323298980208,0.5628738188147144,19710.26957422956,16833.141472304742,0.4879107783712653,67413.00169212233,461.24016609030514,1200.0
