model,default_mean_life_abs_error,fixed250_mean_life_abs_error,fixed250_minus_default_life_abs_error,fixed250_life_error_change_pct,default_mean_wear_mae_um,fixed250_mean_wear_mae_um,fixed250_minus_default_wear_mae_um,mean_pressure_mae
LSTM,888.7139847556455,477.51925702608605,-411.1947277295594,-0.46268510992613515,0.05480580871785434,0.0358456146607487,-0.018960194057105646,3.5576308965682983
GRU,779.6710043343237,491.70300844894155,-287.96799588538215,-0.36934552431027845,0.05329152368585587,0.04031278331771984,-0.012978740368136031,3.2624539136886597
FNN,2509.918770366755,2394.3094676309765,-115.60930273577833,-0.04606097380549301,0.14272619511746776,0.1358419993449266,-0.006884195772541152,5.348723649978638
Transformer,891.3155740041611,855.2194307735826,-36.09614323057849,-0.04049760184086044,0.052266312109780354,0.04865915686387755,-0.003607155245902806,2.2769069969654083
1D-CNN,418.0837855989839,657.737251483205,239.65346588422108,0.5732187521715827,0.036695443122198905,0.048215662319872205,0.0115202191976733,4.992269814014435
