cycle,stress,F2_actual,d1,Cr,wear_depth
0.0,267.8571428571429,2400,4.0,0.007,2.8928571428571436e-06
753.7688442211055,267.6702588276334,2400,4.0,0.007,5.783695938195585e-06
1507.537688442211,267.48303412677416,2400,4.0,0.007,8.672512706764747e-06
2261.3065326633164,267.29513581089867,2400,4.0,0.007,1.1559300173522453e-05
3015.075376884422,267.10624621641426,2400,4.0,0.007,1.4444047632659728e-05
3768.8442211055276,266.9160701655843,2400,4.0,0.007,1.7326741190448037e-05
4522.613065326633,266.72434166224866,2400,4.0,0.007,2.020736408040032e-05
5276.381909547738,266.53082992559786,2400,4.0,0.007,2.3085897043596776e-05
6030.150753768844,266.335344625133,2400,4.0,0.007,2.596231876554821e-05
6783.91959798995,266.13774019806425,2400,4.0,0.007,2.8836606359687307e-05
7537.688442211055,265.9379191512116,2400,4.0,0.007,3.1708735886520396e-05
8291.45728643216,265.7358342725098,2400,4.0,0.007,3.45786828966635e-05
9045.226130653265,265.5314897019527,2400,4.0,0.007,3.744642298544459e-05
9798.994974874371,265.3249408376824,2400,4.0,0.007,4.0311932346491557e-05
10552.763819095477,265.1162930793551,2400,4.0,0.007,4.317518831174859e-05
11306.532663316582,264.9056994372883,2400,4.0,0.007,4.6036169865671304e-05
12060.301507537688,264.693357061622,2400,4.0,0.007,4.889485812193682e-05
12814.070351758794,264.4795027702261,2400,4.0,0.007,5.175123675185526e-05
13567.8391959799,264.2644076767976,2400,4.0,0.007,5.4605292354764675e-05
14321.608040201005,264.04837104100153,2400,4.0,0.007,5.745701476200749e-05
15075.37688442211,263.8317134801576,2400,4.0,0.007,6.030639726759319e-05
15829.145728643216,263.61476969645656,2400,4.0,0.007,6.315343678031493e-05
16582.91457286432,263.3978808846797,2400,4.0,0.007,6.599813389386948e-05
17336.683417085427,263.18138699264193,2400,4.0,0.007,6.884049287339001e-05
18090.45226130653,262.9656190099217,2400,4.0,0.007,7.168052155869716e-05
18844.22110552764,262.7508914597957,2400,4.0,0.007,7.451823118646295e-05
19597.989949748742,262.53749526469096,2400,4.0,0.007,7.735363613532161e-05
20351.75879396985,262.3256911469902,2400,4.0,0.007,8.01867535997091e-05
21105.527638190953,262.11570371488705,2400,4.0,0.007,8.301760319982988e-05
21859.29648241206,261.9077163674428,2400,4.0,0.007,8.584620653659827e-05
22613.065326633165,261.7018671344194,2400,4.0,0.007,8.867258670165e-05
23366.834170854272,261.4982455452552,2400,4.0,0.007,9.149676775353876e-05
24120.603015075376,261.29689059820697,2400,4.0,0.007,9.431877417199939e-05
24874.37185929648,261.0977898757252,2400,4.0,0.007,9.713863030265723e-05
25628.140703517587,260.9008798261306,2400,4.0,0.007,9.995635980477944e-05
26381.90954773869,260.70604720520015,2400,4.0,0.007,0.0001027719851145956
27135.6783919598,260.51313164496383,2400,4.0,0.007,0.00010558552693636122
27889.447236180902,260.32192929144236,2400,4.0,0.007,0.00010839700377270879
28643.21608040201,260.1321974288071,2400,4.0,0.007,0.0001112064315049399
29396.984924623113,259.94365998507067,2400,4.0,0.007,0.00011401382303277866
30150.75376884422,259.7560137944185,2400,4.0,0.007,0.00011681918798175838
30904.522613065325,259.5689354741275,2400,4.0,0.007,0.00011962253248487896
31658.291457286432,259.38208876007974,2400,4.0,0.007,0.00012242385904348782
32412.060301507536,259.19513213447317,2400,4.0,0.007,0.00012522316647054014
33165.82914572864,259.00772657270556,2400,4.0,0.007,0.00012802044991752537
33919.59798994975,258.81954323370286,2400,4.0,0.007,0.00013081570098444936
34673.366834170854,258.6302709192486,2400,4.0,0.007,0.00013360890791037724
35427.13567839196,258.4396231331071,2400,4.0,0.007,0.00013640005584021478
36180.90452261306,258.2473445798156,2400,4.0,0.007,0.0001391891271616768
36934.67336683417,258.05321695572695,2400,4.0,0.007,0.00014197610190479863
37688.44221105528,257.8570639009418,2400,4.0,0.007,0.0001447609581949288
38442.21105527638,257.65875499980194,2400,4.0,0.007,0.00014754367274892667
39195.979899497484,257.4582087391983,2400,4.0,0.007,0.00015032422140331
39949.74874371859,257.25539435758947,2400,4.0,0.007,0.000153102579662372
40703.5175879397,257.0503325427866,2400,4.0,0.007,0.00015587872325383408
41457.2864321608,256.8430949626774,2400,4.0,0.007,0.00015865262867943098
42211.05527638191,256.6338026395346,2400,4.0,0.007,0.00016142427374793796
42964.824120603014,256.42262320478375,2400,4.0,0.007,0.00016419363807854964
43718.59296482412,256.2097670965041,2400,4.0,0.007,0.00016696070356319188
44472.36180904522,255.99548278591675,2400,4.0,0.007,0.0001697254547772798
45226.13065326633,255.78005114114055,2400,4.0,0.007,0.00017248787932960412
45979.89949748744,255.56377905606672,2400,4.0,0.007,0.00017524796814340964
46733.668341708544,255.34699248887335,2400,4.0,0.007,0.00017800571566228948
47487.437185929644,255.13002906809118,2400,4.0,0.007,0.00018076111997622488
48241.20603015075,254.91323043394277,2400,4.0,0.007,0.00018351418286491146
48994.97487437186,254.69693448868188,2400,4.0,0.007,0.00018626490975738922
49748.74371859296,254.4814677317237,2400,4.0,0.007,0.00018901330960889183
50502.51256281407,254.26713785343335,2400,4.0,0.007,0.0001917593946977089
51256.281407035174,254.0542267555732,2400,4.0,0.007,0.00019450318034666908
52010.05025125628,253.84298415673095,2400,4.0,0.007,0.00019724468457556178
52763.81909547738,253.63362192778055,2400,4.0,0.007,0.0001999839276923818
53517.58793969849,253.42630928586917,2400,4.0,0.007,0.0002027209318326692
54271.3567839196,253.22116895594803,2400,4.0,0.007,0.00020545572045739343
55025.125628140704,253.01827438691754,2400,4.0,0.007,0.00020818831782077213
55778.894472361804,252.8176480855354,2400,4.0,0.007,0.0002109187484200959
56532.66331658291,252.6192611058803,2400,4.0,0.007,0.0002136470364400394
57286.43216080402,252.4230337059521,2400,4.0,0.007,0.00021637320520406369
58040.20100502513,252.2288371565146,2400,4.0,0.007,0.00021909727664535405
58793.96984924623,252.03649666114976,2400,4.0,0.007,0.00022181927080929448
59547.738693467334,251.84579532128515,2400,4.0,0.007,0.00022453920539876435
60301.50753768844,251.65647905625391,2400,4.0,0.007,0.0002272570953725719
61055.27638190954,251.4682623667818,2400,4.0,0.007,0.00022997295260613314
61809.04522613065,251.28083481116388,2400,4.0,0.007,0.0002326867856220937
62562.81407035176,251.09386804722797,2400,4.0,0.007,0.00023539859939700376
63316.582914572864,250.90702328034644,2400,4.0,0.007,0.0002381083952484315
64070.351758793964,250.71995894854828,2400,4.0,0.007,0.00024081617080507582
64824.12060301507,250.53233847040497,2400,4.0,0.007,0.00024352192006055619
65577.88944723617,250.34383787993895,2400,4.0,0.007,0.00024622563350965953
66331.65829145728,250.15415317536733,2400,4.0,0.007,0.0002489272983639535
67085.42713567839,249.96300721498395,2400,4.0,0.007,0.00025162689884187535
67839.1959798995,249.77015600375574,2400,4.0,0.007,0.0002543244165267159
68592.9648241206,249.57539422803046,2400,4.0,0.007,0.0002570198307843786
69346.73366834171,249.3785599128075,2400,4.0,0.007,0.0002597131192314369
70100.50251256282,249.17953809592896,2400,4.0,0.007,0.00026240425824287293
70854.27135678392,248.9782634358451,2400,4.0,0.007,0.00026509322348798007
71608.04020100502,248.77472169380204,2400,4.0,0.007,0.00026777999048227313
72361.80904522612,248.56895005682912,2400,4.0,0.007,0.00027046453514288686
73115.57788944723,248.36103629420006,2400,4.0,0.007,0.0002731468343348642
