cycle,stress,F2_actual,d1,Cr,wear_depth
0.0,678.5714285714286,4800,4.0,0.011,1.4657142857142859e-05
753.7688442211055,678.0749609094711,4800,4.0,0.011,2.9303562012787437e-05
1507.537688442211,677.5781525761639,4800,4.0,0.011,4.393925010843258e-05
2261.3065326633164,677.0806706278405,4800,4.0,0.011,5.856419259399394e-05
3015.075376884422,676.5821974009081,4800,4.0,0.011,7.317836805785356e-05
3768.8442211055276,676.0824377176301,4800,4.0,0.011,8.778174871255438e-05
4522.613065326633,675.5811255818467,4800,4.0,0.011,0.00010237430102512226
5276.381909547738,675.0780302127479,4800,4.0,0.011,0.00011695598647771762
6030.150753768844,674.572961279835,4800,4.0,0.011,0.00013152676244136205
6783.91959798995,674.0657732203183,4800,4.0,0.011,0.00014608658314292094
7537.688442211055,673.5563685410177,4800,4.0,0.011,0.00016063540070340693
8291.45728643216,673.044700029868,4800,4.0,0.011,0.00017517316622405209
9045.226130653265,672.530771826863,4800,4.0,0.011,0.00018969983089551232
9798.994974874371,672.0146393301446,4800,4.0,0.011,0.00020421534710504343
10552.763819095477,671.4964079393694,4800,4.0,0.011,0.00021871966951653382
11306.532663316582,670.9762306648547,4800,4.0,0.011,0.00023321275609889468
12060.301507537688,670.4543046567404,4800,4.0,0.011,0.0002476945690794803
12814.070351758794,669.9308667328966,4800,4.0,0.011,0.00026216507580091087
13567.8391959799,669.4061880070201,4800,4.0,0.011,0.0002766242494618625
14321.608040201005,668.8805677387761,4800,4.0,0.011,0.0002910720697250201
15075.37688442211,668.3543265454842,4800,4.0,0.011,0.0003055085231784026
15829.145728643216,667.8277991293352,4800,4.0,0.011,0.0003199336036395962
16582.91457286432,667.3013266851103,4800,4.0,0.011,0.0003343473122959946
17336.683417085427,666.7752491606248,4800,4.0,0.011,0.0003487496576778641
18090.45226130653,666.2498975454564,4800,4.0,0.011,0.00036314065546484594
18844.22110552764,665.7255863628825,4800,4.0,0.011,0.00037752032813028423
19597.989949748742,665.2026065353298,4800,4.0,0.011,0.0003918887044314474
20351.75879396985,664.6812187851812,4800,4.0,0.011,0.0004062458187572073
21105.527638190953,664.16164772063,4800,4.0,0.011,0.0004205917103479729
21859.29648241206,663.6440767407378,4800,4.0,0.011,0.00043492642240557284
22613.065326633165,663.1286438752664,4800,4.0,0.011,0.0004492500011132786
23366.834170854272,662.6154386536543,4800,4.0,0.011,0.0004635624945881975
24120.603015075376,662.1045000741581,4800,4.0,0.011,0.0004778639517897993
24874.37185929648,661.5958157192283,4800,4.0,0.011,0.0004921544214093346
25628.140703517587,661.0893220371859,4800,4.0,0.011,0.0005064339507653378
26381.90954773869,660.5849057838075,4800,4.0,0.011,0.0005207025847302681
27135.6783919598,660.0824065911231,4800,4.0,0.011,0.0005349603647126363
27889.447236180902,659.5816206051537,4800,4.0,0.011,0.0005492073277177076
28643.21608040201,659.0823051100705,4800,4.0,0.011,0.0005634435055080851
29396.984924623113,658.5841840338861,4800,4.0,0.011,0.000577668923883217
30150.75376884422,658.086954210786,4800,4.0,0.011,0.0005918836020941701
30904.522613065325,657.590292258047,4800,4.0,0.011,0.0006060875524069439
31658.291457286432,657.0938619115514,4800,4.0,0.011,0.0006202807798242335
32412.060301507536,656.5973216534969,4800,4.0,0.011,0.000634463281971949
33165.82914572864,656.1003324592813,4800,4.0,0.011,0.0006486350491530695
33919.59798994975,655.6025654878306,4800,4.0,0.011,0.0006627960645676066
34673.366834170854,655.1037095409282,4800,4.0,0.011,0.0006769463046936906
35427.13567839196,654.603478122339,4800,4.0,0.011,0.0006910857398211331
36180.90452261306,654.1016159365995,4800,4.0,0.011,0.0007052143347253637
36934.67336683417,653.5979046800628,4800,4.0,0.011,0.000719332049466453
37688.44221105528,653.0921679928298,4800,4.0,0.011,0.0007334388402950981
38442.21105527638,652.584275459242,4800,4.0,0.011,0.0007475346606450178
39195.979899497484,652.0741455661903,4800,4.0,0.011,0.0007616194621892474
39949.74874371859,651.5617475521335,4800,4.0,0.011,0.0007756931959363735
40703.5175879397,651.0471021048827,4800,4.0,0.011,0.0007897558133418389
41457.2864321608,650.5302808923255,4800,4.0,0.011,0.0008038072674091131
42211.05527638191,650.0114049367348,4800,4.0,0.011,0.0008178475137557466
42964.824120603014,649.490641869536,4800,4.0,0.011,0.0008318765116201286
43718.59296482412,648.9682021288083,4800,4.0,0.011,0.0008458942247861109
44472.36180904522,648.4443341857732,4800,4.0,0.011,0.0008599006224045236
45226.13065326633,647.919318908549,4800,4.0,0.011,0.0008738956796929483
45979.89949748744,647.3934631910271,4800,4.0,0.011,0.0008878793784978745
46733.668341708544,646.8670929913858,4800,4.0,0.011,0.0009018517077064884
47487.437185929644,646.3405459381557,4800,4.0,0.011,0.0009158126634987526
48241.20603015075,645.8141636715594,4800,4.0,0.011,0.0009297622494340583
48994.97487437186,645.2882840938505,4800,4.0,0.011,0.0009437004763704854
49748.74371859296,644.7632337044444,4800,4.0,0.011,0.0009576273622185014
50502.51256281407,644.2393201937061,4800,4.0,0.011,0.0009715429315346854
51256.281407035174,643.716825463398,4800,4.0,0.011,0.0009854472149646947
52010.05025125628,643.1959992321079,4800,4.0,0.011,0.0009993402485481081
52763.81909547738,642.6770533707095,4800,4.0,0.011,0.0010132220729009154
53517.58793969849,642.1601570963501,4800,4.0,0.011,0.0010270927322941965
54271.3567839196,641.645433133981,4800,4.0,0.011,0.0010409522736498904
55025.125628140704,641.1329549325026,4800,4.0,0.011,0.0010548007454764326
55778.894472361804,640.6227449986724,4800,4.0,0.011,0.0010686381967684039
56532.66331658291,640.1147743865695,4800,4.0,0.011,0.0010824646758951539
57286.43216080402,639.6089633541933,4800,4.0,0.011,0.0010962802295036045
58040.20100502513,639.1051831723078,4800,4.0,0.011,0.0011100849014601263
58793.96984924623,638.603259044495,4800,4.0,0.011,0.0011238787318554873
59547.738693467334,638.1029740721824,4800,4.0,0.011,0.0011376617560954463
60301.50753768844,637.6040741747032,4800,4.0,0.011,0.0011514340040976198
61055.27638190954,637.1062738527831,4800,4.0,0.011,0.00116519549961284
61809.04522613065,636.6092626647173,4800,4.0,0.011,0.001178946259686398
62562.81407035176,636.1127122683334,4800,4.0,0.011,0.001192686294271394
63316.582914572864,635.616283869004,4800,4.0,0.011,0.0012064156060029646
64070.351758793964,635.1196359047578,4800,4.0,0.011,0.0012201341901385073
64824.12060301507,634.6224317941665,4800,4.0,0.011,0.0012338420346652613
65577.88944723617,634.1243475712527,4800,4.0,0.011,0.0012475391205728004
66331.65829145728,633.6250792342331,4800,4.0,0.011,0.0012612254222842598
67085.42713567839,633.1243496414017,4800,4.0,0.011,0.001274900908236514
67839.1959798995,632.6219147977255,4800,4.0,0.011,0.0012885655415961449
68592.9648241206,632.1175693895523,4800,4.0,0.011,0.0013022192810949592
69346.73366834171,631.6111514418814,4800,4.0,0.011,0.001315862081966104
70100.50251256282,631.1025459925548,4800,4.0,0.011,0.001329493896959543
70854.27135678392,630.591687700023,4800,4.0,0.011,0.0013431146774138636
71608.04020100502,630.0785623255321,4800,4.0,0.011,0.0013567243743600951
72361.80904522612,629.5632070561112,4800,4.0,0.011,0.0013703229396325072
73115.57788944723,629.0457096610343,4800,4.0,0.011,0.0013839103269611855
73869.34673366834,628.5262065008878,4800,4.0,0.011,0.0013974864930216047
74623.11557788945,628.0048794344111,4800,4.0,0.011,0.001411051398417388
75376.88442211055,627.4819516932679,4800,4.0,0.011,0.0014246050085739625
76130.65326633166,626.9576828183292,4800,4.0,0.011,0.0014381472945228385
76884.42211055275,626.4323627723285,4800,4.0,0.011,0.0014516782335587208
77638.19095477386,625.9063053624374,4800,4.0,0.011,0.0014651978097545496
78391.95979899497,625.3798411219612,4800,4.0,0.011,0.0014787060143227838
79145.72864321608,624.8533098126235,4800,4.0,0.011,0.0014922028458147366
79899.49748743718,624.3270527175175,4800,4.0,0.011,0.0015056883101534349
80653.26633165829,623.8014048995458,4800,4.0,0.011,0.001519162420499265
81407.0351758794,623.2766876009574,4800,4.0,0.011,0.0015326251969514457
82160.8040201005,622.7532009563889,4800,4.0,0.011,0.0015460766660921037
82914.5728643216,622.231217184703,4800,4.0,0.011,0.0015595168603832934
83668.3417085427,621.7109744140607,4800,4.0,0.011,0.0015729458174306371
84422.11055276381,621.1926712802957,4800,4.0,0.011,0.0015863635791302916
85175.87939698492,620.6764624211211,4800,4.0,0.011,0.0015997701907185878
85929.64824120603,620.1624549683753,4800,4.0,0.011,0.0016131656997459046
86683.41708542714,619.6507061178775,4800,4.0,0.011,0.0016265501549980507
87437.18592964824,619.1412218320136,4800,4.0,0.011,0.0016399236053896223
88190.95477386934,618.6339567044894,4800,4.0,0.011,0.0016532860988544393
