cycle,stress,F2_actual,d1,Cr,wear_depth
0.0,62.50000000000001,1400,10.0,0.007,3.9375000000000004e-07
753.7688442211055,62.467907786714456,1400,10.0,0.007,7.872978190563011e-07
1507.537688442211,62.435474902079214,1400,10.0,0.007,1.1806413109394e-06
2261.3065326633164,62.402368402427705,1400,10.0,0.007,1.5737762318746946e-06
3015.075376884422,62.36827062416723,1400,10.0,0.007,1.9666963368069484e-06
3768.8442211055276,62.33288638956128,1400,10.0,0.007,2.3593935210611845e-06
4522.613065326633,62.295949702449676,1400,10.0,0.007,2.7518580041866174e-06
5276.381909547738,62.25722978202281,1400,10.0,0.007,3.144078551813361e-06
6030.150753768844,62.21653629778196,1400,10.0,0.007,3.5360427304893876e-06
6783.91959798995,62.17372368693719,1400,10.0,0.007,3.927737189717092e-06
7537.688442211055,62.128694456308466,1400,10.0,0.007,4.319147964791835e-06
8291.45728643216,62.08140139383069,1400,10.0,0.007,4.710260793572969e-06
9045.226130653265,62.03184863949757,1400,10.0,0.007,5.101061440001803e-06
9798.994974874371,61.980091591451206,1400,10.0,0.007,5.491536017027946e-06
10552.763819095477,61.92623564934792,1400,10.0,0.007,5.881671301618838e-06
11306.532663316582,61.8704338235051,1400,10.0,0.007,6.27145503470692e-06
12060.301507537688,61.81288326406274,1400,10.0,0.007,6.660876199270516e-06
12814.070351758794,61.75382078889082,1400,10.0,0.007,7.049925270240528e-06
13567.8391959799,61.69351751168631,1400,10.0,0.007,7.438594430564152e-06
14321.608040201005,61.63227269211421,1400,10.0,0.007,7.82687774852447e-06
15075.37688442211,61.570406947494284,1400,10.0,0.007,8.214771312293684e-06
15829.145728643216,61.50825498001726,1400,10.0,0.007,8.602273318667793e-06
16582.91457286432,61.4461579844643,1400,10.0,0.007,8.989384113969918e-06
17336.683417085427,61.384455908650494,1400,10.0,0.007,9.376106186194416e-06
18090.45226130653,61.32347974215421,1400,10.0,0.007,9.762444108569988e-06
18844.22110552764,61.263544008252246,1400,10.0,0.007,1.0148404435821977e-05
19597.989949748742,61.20493962937144,1400,10.0,0.007,1.0533995555487016e-05
20351.75879396985,61.14792732789472,1400,10.0,0.007,1.0919227497652754e-05
21105.527638190953,61.09273171201552,1400,10.0,0.007,1.1304111707438452e-05
21859.29648241206,61.03953618079523,1400,10.0,0.007,1.1688660785377462e-05
22613.065326633165,60.98847876399581,1400,10.0,0.007,1.2072888201590636e-05
23366.834170854272,60.939648991055606,1400,10.0,0.007,1.2456807990234287e-05
24120.603015075376,60.8930858602313,1400,10.0,0.007,1.2840434431153744e-05
24874.37185929648,60.848776953973584,1400,10.0,0.007,1.3223781725963777e-05
25628.140703517587,60.80665872060298,1400,10.0,0.007,1.3606863675903576e-05
26381.90954773869,60.766617915896454,1400,10.0,0.007,1.3989693368773724e-05
27135.6783919598,60.728494171884144,1400,10.0,0.007,1.4372282882056594e-05
27889.447236180902,60.69208363458663,1400,10.0,0.007,1.475464300895449e-05
28643.21608040201,60.65714358817532,1400,10.0,0.007,1.5136783013559995e-05
29396.984924623113,60.62339796066293,1400,10.0,0.007,1.5518710420712173e-05
30150.75376884422,60.5905435862347,1400,10.0,0.007,1.590043084530545e-05
30904.522613065325,60.55825708216767,1400,10.0,0.007,1.6281947864923106e-05
31658.291457286432,60.52620218434391,1400,10.0,0.007,1.6663262938684473e-05
32412.060301507536,60.49403737496135,1400,10.0,0.007,1.704437537414673e-05
33165.82914572864,60.46142362941766,1400,10.0,0.007,1.7425282343012058e-05
33919.59798994975,60.42803210663893,1400,10.0,0.007,1.7805978945283882e-05
34673.366834170854,60.393551608408586,1400,10.0,0.007,1.8186458320416854e-05
35427.13567839196,60.3576956384911,1400,10.0,0.007,1.856671180293935e-05
36180.90452261306,60.32020890142362,1400,10.0,0.007,1.894672911901832e-05
36934.67336683417,60.280873093558945,1400,10.0,0.007,1.932649861950774e-05
37688.44221105528,60.23951185499778,1400,10.0,0.007,1.9706007544194226e-05
38442.21105527638,60.19599477008185,1400,10.0,0.007,2.0085242311245743e-05
39195.979899497484,60.15024032570223,1400,10.0,0.007,2.046418882529767e-05
39949.74874371859,60.10221776031737,1400,10.0,0.007,2.0842832797187668e-05
40703.5175879397,60.05194776173842,1400,10.0,0.007,2.122116006808662e-05
