cycle,stress,F2_actual,d1,Cr,wear_depth
0.0,196.42857142857142,4400,10.0,0.007,3.889285714285714e-06
753.7688442211055,196.29552803079198,4400,10.0,0.007,7.775937169295395e-06
1507.537688442211,196.16214396166282,4400,10.0,0.007,1.165994761973632e-05
2261.3065326633164,196.02808627751742,4400,10.0,0.007,1.5541303728031165e-05
3015.075376884422,195.89303731476306,4400,10.0,0.007,1.9419985866863472e-05
3768.8442211055276,195.7567018956632,4400,10.0,0.007,2.3295968564397603e-05
4522.613065326633,195.6188140240577,4400,10.0,0.007,2.7169221082073947e-05
5276.381909547738,195.47914291913693,4400,10.0,0.007,3.103970811187286e-05
6030.150753768844,195.33749825040218,4400,10.0,0.007,3.4907390577230826e-05
6783.91959798995,195.1937344550635,4400,10.0,0.007,3.8772226519441084e-05
7537.688442211055,195.04775403994088,4400,10.0,0.007,4.263417204943191e-05
8291.45728643216,194.8995097929692,4400,10.0,0.007,4.64931823433327e-05
9045.226130653265,194.74900585414218,4400,10.0,0.007,5.0349212659244715e-05
9798.994974874371,194.59629762160196,4400,10.0,0.007,5.4202219352152436e-05
10552.763819095477,194.44149049500479,4400,10.0,0.007,5.805216086395353e-05
11306.532663316582,194.28473748466803,4400,10.0,0.007,6.189899866614996e-05
12060.301507537688,194.1262357407318,4400,10.0,0.007,6.574269813381644e-05
12814.070351758794,193.96622208106598,4400,10.0,0.007,6.958322933102155e-05
13567.8391959799,193.80496761936755,4400,10.0,0.007,7.342056768988503e-05
14321.608040201005,193.64277161530154,4400,10.0,0.007,7.7254694567868e-05
15075.37688442211,193.47995468618774,4400,10.0,0.007,8.108559767065452e-05
15829.145728643216,193.3168515342168,4400,10.0,0.007,8.491327133103202e-05
16582.91457286432,193.15380335416995,4400,10.0,0.007,8.873771663744458e-05
17336.683417085427,192.99115009386225,4400,10.0,0.007,9.255894140930306e-05
18090.45226130653,192.82922274287205,4400,10.0,0.007,9.637696001961192e-05
18844.22110552764,192.6683358244762,4400,10.0,0.007,0.00010019179306893655
19597.989949748742,192.50878026110152,4400,10.0,0.007,0.00010400346691810635
20351.75879396985,192.35081677513088,4400,10.0,0.007,0.00010781201309025394
21105.527638190953,192.1946699747578,4400,10.0,0.007,0.00011161746755575415
21859.29648241206,192.0405232590436,4400,10.0,0.007,0.00011541986991628321
22613.065326633165,191.88851465775028,4400,10.0,0.007,0.00011921926250650667
23366.834170854272,191.7387337003162,4400,10.0,0.007,0.00012301568943377293
24120.603015075376,191.59121938499797,4400,10.0,0.007,0.0001268091955775959
24874.37185929648,191.44595929424634,4400,10.0,0.007,0.00013059982557162196
25628.140703517587,191.30288987638184,4400,10.0,0.007,0.00013438762279117432
26381.90954773869,191.16189788718142,4400,10.0,0.007,0.00013817262836934052
27135.6783919598,191.0228229586752,4400,10.0,0.007,0.0001419548802639223
27889.447236180902,190.8854612368838,4400,10.0,0.007,0.0001457344123964126
28643.21608040201,190.7495700059786,4400,10.0,0.007,0.00014951125388253098
29396.984924623113,190.61487319397233,4400,10.0,0.007,0.00015328542837177164
30150.75376884422,190.48106763505018,4400,10.0,0.007,0.00015705695351094564
30904.522613065325,190.34782994648927,4400,10.0,0.007,0.00016082584054388611
31658.291457286432,190.21482386417162,4400,10.0,0.007,0.0001645920940563967
32412.060301507536,190.08170787029516,4400,10.0,0.007,0.00016835571187222856
33165.82914572864,189.94814294025755,4400,10.0,0.007,0.00017211668510244566
33919.59798994975,189.81380023298493,4400,10.0,0.007,0.00017587499834705877
34673.366834170854,189.67836855026067,4400,10.0,0.007,0.00017963063004435394
35427.13567839196,189.5415613958493,4400,10.0,0.007,0.00018338355295999175
36180.90452261306,189.40312347428792,4400,10.0,0.007,0.00018713373480478264
36934.67336683417,189.26283648192933,4400,10.0,0.007,0.00019088113896712484
37688.44221105528,189.12052405887428,4400,10.0,0.007,0.00019462572534349054
38442.21105527638,188.97605578946448,4400,10.0,0.007,0.00019836745124812192
39195.979899497484,188.82935016059093,4400,10.0,0.007,0.00020210627238130162
39949.74874371859,188.6803764107122,4400,10.0,0.007,0.00020584214383423372
40703.5175879397,188.52915522763936,4400,10.0,0.007,0.00020957502110774097
41457.2864321608,188.37575827926028,4400,10.0,0.007,0.00021330486112167032
42211.05527638191,188.22030658784757,4400,10.0,0.007,0.0002170316231921097
42964.824120603014,188.06296778482675,4400,10.0,0.007,0.00022075526995424927
43718.59296482412,187.90395230827716,4400,10.0,0.007,0.00022447576820995316
44472.36180904522,187.74350862941992,4400,10.0,0.007,0.00022819308968081569
45226.13065326633,187.5819176163738,4400,10.0,0.007,0.0002319072116496199
45979.89949748744,187.41948616303006,4400,10.0,0.007,0.00023561811747564788
46733.668341708544,187.25654022756677,4400,10.0,0.007,0.0002393257969721537
47487.437185929644,187.09341743851468,4400,10.0,0.007,0.00024303024663743629
48241.20603015075,186.93045943609636,4400,10.0,0.007,0.000246731469734271
48994.97487437186,186.76800412256554,4400,10.0,0.007,0.0002504294762158978
49748.74371859296,186.60637799733746,4400,10.0,0.007,0.0002541242825002451
50502.51256281407,186.4458887507772,4400,10.0,0.007,0.0002578159110975105
51256.281407035174,186.28681828464713,4400,10.0,0.007,0.0002615043900995465
