variant,test_case,seed_count,mean_predicted_life,true_life,mean_life_abs_error,mean_wear_mae_um,mean_k_factor
T3_fixed_k,Run11.xlsx,1,23204.320881910444,23918.706127369696,714.3852454592525,0.05196110370378737,1.0
T3_fixed_k,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T3_fixed_k,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T3_fixed_k,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p25_c0p05,Run11.xlsx,1,23540.30759255665,23918.706127369696,378.39853481304453,0.021657226301080097,0.9868956874291154
T4_dynk_s0p25_c0p05,Run25.xlsx,1,22001.953475869803,22834.36330453385,832.4098286640474,0.10808102750721602,1.024984590156054
T4_dynk_s0p25_c0p05,Run28.xlsx,1,41884.25506925202,42449.22900678442,564.9739375323988,0.04062738377662363,1.0158891779850636
T4_dynk_s0p25_c0p05,Run4.xlsx,1,38768.91185232059,38722.98916828896,45.92268403163325,0.009212116613003236,1.0015727435691308
T4_dynk_s0p25_c0p1,Run11.xlsx,1,23540.30759255665,23918.706127369696,378.39853481304453,0.021657226301080097,0.9868956874291154
T4_dynk_s0p25_c0p1,Run25.xlsx,1,21772.563751164987,22834.36330453385,1061.7995533688627,0.12671684434812433,1.034704249236686
T4_dynk_s0p25_c0p1,Run28.xlsx,1,41884.25506925202,42449.22900678442,564.9739375323988,0.04062738377662363,1.0158891779850636
T4_dynk_s0p25_c0p1,Run4.xlsx,1,38768.91185232059,38722.98916828896,45.92268403163325,0.009212116613003236,1.0015727435691308
T4_dynk_s0p25_c0p15,Run11.xlsx,1,23540.30759255665,23918.706127369696,378.39853481304453,0.021657226301080097,0.9868956874291154
T4_dynk_s0p25_c0p15,Run25.xlsx,1,21772.563751164987,22834.36330453385,1061.7995533688627,0.12671684434812433,1.034704249236686
T4_dynk_s0p25_c0p15,Run28.xlsx,1,41884.25506925202,42449.22900678442,564.9739375323988,0.04062738377662363,1.0158891779850636
T4_dynk_s0p25_c0p15,Run4.xlsx,1,38768.91185232059,38722.98916828896,45.92268403163325,0.009212116613003236,1.0015727435691308
T4_dynk_s0p25_c0p2,Run11.xlsx,1,23540.30759255665,23918.706127369696,378.39853481304453,0.021657226301080097,0.9868956874291154
T4_dynk_s0p25_c0p2,Run25.xlsx,1,21772.563751164987,22834.36330453385,1061.7995533688627,0.12671684434812433,1.034704249236686
T4_dynk_s0p25_c0p2,Run28.xlsx,1,41884.25506925202,42449.22900678442,564.9739375323988,0.04062738377662363,1.0158891779850636
T4_dynk_s0p25_c0p2,Run4.xlsx,1,38768.91185232059,38722.98916828896,45.92268403163325,0.009212116613003236,1.0015727435691308
T4_dynk_s0p5_c0p05,Run11.xlsx,1,23863.43916400869,23918.706127369696,55.266963361005764,0.013087506402901985,0.9749899714848301
T4_dynk_s0p5_c0p05,Run25.xlsx,1,21858.070302272787,22834.36330453385,976.2930022610635,0.12820844962600633,1.0308973606834657
T4_dynk_s0p5_c0p05,Run28.xlsx,1,41444.185085158446,42449.22900678442,1005.0439216259765,0.04073297994319849,1.0264072678928506
T4_dynk_s0p5_c0p05,Run4.xlsx,1,38705.54897952348,38722.98916828896,17.440188765474886,0.011075450779512656,1.0031651121976568
T4_dynk_s0p5_c0p1,Run11.xlsx,1,23899.624602830732,23918.706127369696,19.081524538964004,0.012867860753535076,0.9733958634375087
T4_dynk_s0p5_c0p1,Run25.xlsx,1,21402.528601507667,22834.36330453385,1431.834703026183,0.16672305438832458,1.0506533997596734
T4_dynk_s0p5_c0p1,Run28.xlsx,1,41226.394172223605,42449.22900678442,1222.8348345608174,0.04358937029231651,1.0316641409831409
T4_dynk_s0p5_c0p1,Run4.xlsx,1,38705.54897952348,38722.98916828896,17.440188765474886,0.011075450779512656,1.0031651121976568
T4_dynk_s0p5_c0p15,Run11.xlsx,1,23899.624602830732,23918.706127369696,19.081524538964004,0.012867860753535076,0.9733958634375087
T4_dynk_s0p5_c0p15,Run25.xlsx,1,21078.445965834228,22834.36330453385,1755.9173386996226,0.19197392032541752,1.0651373421879942
T4_dynk_s0p5_c0p15,Run28.xlsx,1,41226.394172223605,42449.22900678442,1222.8348345608174,0.04358937029231651,1.0316641409831409
T4_dynk_s0p5_c0p15,Run4.xlsx,1,38705.54897952348,38722.98916828896,17.440188765474886,0.011075450779512656,1.0031651121976568
T4_dynk_s0p5_c0p2,Run11.xlsx,1,23899.624602830732,23918.706127369696,19.081524538964004,0.012867860753535076,0.9733958634375087
T4_dynk_s0p5_c0p2,Run25.xlsx,1,20950.163618982147,22834.36330453385,1884.1996855517027,0.20184399296860542,1.071253935862216
T4_dynk_s0p5_c0p2,Run28.xlsx,1,41226.394172223605,42449.22900678442,1222.8348345608174,0.04358937029231651,1.0316641409831409
T4_dynk_s0p5_c0p2,Run4.xlsx,1,38705.54897952348,38722.98916828896,17.440188765474886,0.011075450779512656,1.0031651121976568
T4_dynk_s0p75_c0p05,Run11.xlsx,1,24071.38491340316,23918.706127369696,152.67878603346253,0.033978461076669325,0.967778193988195
T4_dynk_s0p75_c0p05,Run25.xlsx,1,21743.153264166383,22834.36330453385,1091.2100403674667,0.14303705247325194,1.0356685735649487
T4_dynk_s0p75_c0p05,Run28.xlsx,1,41410.61067173267,42449.22900678442,1038.618335051753,0.03996838881708995,1.0272353930980191
T4_dynk_s0p75_c0p05,Run4.xlsx,1,38642.228883012154,38722.98916828896,80.76028527680319,0.013086882415511,1.0047476682964853
T4_dynk_s0p75_c0p1,Run11.xlsx,1,24285.24298094785,23918.706127369696,366.53685357815266,0.04188912798800873,0.9589137220298584
T4_dynk_s0p75_c0p1,Run25.xlsx,1,21256.22710884226,22834.36330453385,1578.1361956915898,0.18830170291438597,1.0567821340073629
T4_dynk_s0p75_c0p1,Run28.xlsx,1,40611.53534700986,42449.22900678442,1837.693659774559,0.051402759494566366,1.0469494070154204
T4_dynk_s0p75_c0p1,Run4.xlsx,1,38642.228883012154,38722.98916828896,80.76028527680319,0.013086882415511,1.0047476682964853
