sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim,source_file,stress_source
0.0,0,140.0,1000.0,8.0,0.008,0.0,210.0,3e-06,Run3.xlsx,measured_cpress
0.017564,286,140.0,1000.0,8.0,0.008,3.07e-05,210.0,3e-06,Run3.xlsx,measured_cpress
0.067564,1102,137.0,1000.0,8.0,0.008,0.000117,210.0,3e-06,Run3.xlsx,measured_cpress
0.117564,1917,134.0,1000.0,8.0,0.008,0.000202,210.0,3e-06,Run3.xlsx,measured_cpress
0.167564,2732,131.0,1000.0,8.0,0.008,0.000285,210.0,3e-06,Run3.xlsx,measured_cpress
0.217564,3547,129.0,1000.0,8.0,0.008,0.000367,210.0,3e-06,Run3.xlsx,measured_cpress
0.267564,4362,126.0,1000.0,8.0,0.008,0.000439,210.0,3e-06,Run3.xlsx,measured_cpress
0.317564,5178,124.0,1000.0,8.0,0.008,0.000517,210.0,3e-06,Run3.xlsx,measured_cpress
0.367564,5993,121.0,1000.0,8.0,0.008,0.000594,210.0,3e-06,Run3.xlsx,measured_cpress
0.417564,6808,119.0,1000.0,8.0,0.008,0.000669,210.0,3e-06,Run3.xlsx,measured_cpress
0.467564,7623,117.0,1000.0,8.0,0.008,0.000743,210.0,3e-06,Run3.xlsx,measured_cpress
0.517564,8439,115.0,1000.0,8.0,0.008,0.000816,210.0,3e-06,Run3.xlsx,measured_cpress
0.567564,9254,113.0,1000.0,8.0,0.008,0.000887,210.0,3e-06,Run3.xlsx,measured_cpress
0.617564,10069,111.0,1000.0,8.0,0.008,0.000957,210.0,3e-06,Run3.xlsx,measured_cpress
0.667564,10884,109.0,1000.0,8.0,0.008,0.00103,210.0,3e-06,Run3.xlsx,measured_cpress
0.717564,11699,107.0,1000.0,8.0,0.008,0.00109,210.0,3e-06,Run3.xlsx,measured_cpress
0.767564,12515,106.0,1000.0,8.0,0.008,0.00115,210.0,3e-06,Run3.xlsx,measured_cpress
0.817564,13330,104.0,1000.0,8.0,0.008,0.00122,210.0,3e-06,Run3.xlsx,measured_cpress
0.867564,14145,102.0,1000.0,8.0,0.008,0.00128,210.0,3e-06,Run3.xlsx,measured_cpress
0.917564,14960,101.0,1000.0,8.0,0.008,0.00135,210.0,3e-06,Run3.xlsx,measured_cpress
0.967564,15775,99.1,1000.0,8.0,0.008,0.00141,210.0,3e-06,Run3.xlsx,measured_cpress
1.017564,16591,97.6,1000.0,8.0,0.008,0.00147,210.0,3e-06,Run3.xlsx,measured_cpress
1.067564,17406,96.4,1000.0,8.0,0.008,0.00153,210.0,3e-06,Run3.xlsx,measured_cpress
1.117564,18221,95.1,1000.0,8.0,0.008,0.00159,210.0,3e-06,Run3.xlsx,measured_cpress
1.167565,19036,93.7,1000.0,8.0,0.008,0.00165,210.0,3e-06,Run3.xlsx,measured_cpress
1.217564,19852,92.6,1000.0,8.0,0.008,0.00171,210.0,3e-06,Run3.xlsx,measured_cpress
1.267564,20667,91.6,1000.0,8.0,0.008,0.00176,210.0,3e-06,Run3.xlsx,measured_cpress
1.317564,21482,90.4,1000.0,8.0,0.008,0.00182,210.0,3e-06,Run3.xlsx,measured_cpress
1.367564,22297,89.3,1000.0,8.0,0.008,0.00188,210.0,3e-06,Run3.xlsx,measured_cpress
1.417565,23112,88.3,1000.0,8.0,0.008,0.00193,210.0,3e-06,Run3.xlsx,measured_cpress
1.467564,23928,87.3,1000.0,8.0,0.008,0.00199,210.0,3e-06,Run3.xlsx,measured_cpress
1.517564,24743,86.4,1000.0,8.0,0.008,0.00204,210.0,3e-06,Run3.xlsx,measured_cpress
1.567564,25558,85.5,1000.0,8.0,0.008,0.00209,210.0,3e-06,Run3.xlsx,measured_cpress
1.617564,26373,84.7,1000.0,8.0,0.008,0.00215,210.0,3e-06,Run3.xlsx,measured_cpress
1.667565,27189,83.8,1000.0,8.0,0.008,0.0022,210.0,3e-06,Run3.xlsx,measured_cpress
1.717564,28004,83.0,1000.0,8.0,0.008,0.00225,210.0,3e-06,Run3.xlsx,measured_cpress
1.767564,28819,82.4,1000.0,8.0,0.008,0.0023,210.0,3e-06,Run3.xlsx,measured_cpress
1.817564,29634,81.5,1000.0,8.0,0.008,0.00235,210.0,3e-06,Run3.xlsx,measured_cpress
1.867564,30449,80.8,1000.0,8.0,0.008,0.0024,210.0,3e-06,Run3.xlsx,measured_cpress
1.917565,31265,80.1,1000.0,8.0,0.008,0.00245,210.0,3e-06,Run3.xlsx,measured_cpress
1.967564,32080,79.4,1000.0,8.0,0.008,0.0025,210.0,3e-06,Run3.xlsx,measured_cpress
2.017565,32895,78.8,1000.0,8.0,0.008,0.00255,210.0,3e-06,Run3.xlsx,measured_cpress
2.067564,33710,78.3,1000.0,8.0,0.008,0.0026,210.0,3e-06,Run3.xlsx,measured_cpress
2.117564,34525,77.7,1000.0,8.0,0.008,0.00265,210.0,3e-06,Run3.xlsx,measured_cpress
2.167564,35341,77.1,1000.0,8.0,0.008,0.0027,210.0,3e-06,Run3.xlsx,measured_cpress
2.217564,36156,76.5,1000.0,8.0,0.008,0.00275,210.0,3e-06,Run3.xlsx,measured_cpress
2.267565,36971,76.1,1000.0,8.0,0.008,0.00279,210.0,3e-06,Run3.xlsx,measured_cpress
2.317564,37786,75.5,1000.0,8.0,0.008,0.00284,210.0,3e-06,Run3.xlsx,measured_cpress
2.367564,38602,75.0,1000.0,8.0,0.008,0.00288,210.0,3e-06,Run3.xlsx,measured_cpress
2.417564,39417,74.5,1000.0,8.0,0.008,0.00293,210.0,3e-06,Run3.xlsx,measured_cpress
2.467564,40232,74.1,1000.0,8.0,0.008,0.00298,210.0,3e-06,Run3.xlsx,measured_cpress
2.517565,41047,73.7,1000.0,8.0,0.008,0.00302,210.0,3e-06,Run3.xlsx,measured_cpress
2.567564,41862,73.3,1000.0,8.0,0.008,0.00307,210.0,3e-06,Run3.xlsx,measured_cpress
2.617564,42678,72.9,1000.0,8.0,0.008,0.00312,210.0,3e-06,Run3.xlsx,measured_cpress
2.667564,43493,72.5,1000.0,8.0,0.008,0.00316,210.0,3e-06,Run3.xlsx,measured_cpress
2.717564,44308,72.1,1000.0,8.0,0.008,0.00321,210.0,3e-06,Run3.xlsx,measured_cpress
2.767565,45123,71.8,1000.0,8.0,0.008,0.00325,210.0,3e-06,Run3.xlsx,measured_cpress
2.817564,45939,71.4,1000.0,8.0,0.008,0.00329,210.0,3e-06,Run3.xlsx,measured_cpress
2.867564,46754,71.0,1000.0,8.0,0.008,0.00334,210.0,3e-06,Run3.xlsx,measured_cpress
2.917564,47569,70.7,1000.0,8.0,0.008,0.00338,210.0,3e-06,Run3.xlsx,measured_cpress
2.967564,48384,70.4,1000.0,8.0,0.008,0.00343,210.0,3e-06,Run3.xlsx,measured_cpress
3.017565,49199,70.1,1000.0,8.0,0.008,0.00347,210.0,3e-06,Run3.xlsx,measured_cpress
3.067564,50015,69.9,1000.0,8.0,0.008,0.00351,210.0,3e-06,Run3.xlsx,measured_cpress
3.117564,50830,69.6,1000.0,8.0,0.008,0.00356,210.0,3e-06,Run3.xlsx,measured_cpress
3.167564,51645,69.4,1000.0,8.0,0.008,0.0036,210.0,3e-06,Run3.xlsx,measured_cpress
3.217564,52460,69.2,1000.0,8.0,0.008,0.00364,210.0,3e-06,Run3.xlsx,measured_cpress
3.267565,53276,69.0,1000.0,8.0,0.008,0.00368,210.0,3e-06,Run3.xlsx,measured_cpress
