model,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_native_actual_step,mean_used_actual_step,step_capped_count,life_error_win_count
GRU,2.8807677030563354,3.2401079535484314,0.023438510950654745,0.035444672574610016,437.21753901336433,436.6678950208843,0.014647667953689485,492.9012604482268,382.63310556346187,434.75,250.0,4,2
FNN,6.0644142627716064,6.925076007843018,0.045675190165638924,0.08136178678752394,1103.0785524946696,479.5616682980144,0.03045946382706851,3334.525859290552,118.66501409209741,434.75,250.0,4,1
Transformer,7.992774724960327,8.474292635917664,0.05800841562449932,0.08343833104928694,1260.1325641472786,1392.3076091891198,0.04106009375613,1859.9441957200252,395.97084249084946,434.75,250.0,4,0
LSTM,7.723174810409546,8.110729575157166,0.055581437423825264,0.0772149117599661,1289.9353679352025,1195.3713049523249,0.03890698657427164,2500.574576078994,268.4242857571662,434.75,250.0,4,1
1D-CNN,5.323152005672455,6.218613266944885,0.03920070733875036,0.11326025177648094,1530.2425617089957,1560.8250030176223,0.04594597289120571,2389.4630003179045,609.8572404828337,434.75,250.0,4,0
