stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260427,1200,Run4.xlsx,Run4.csv,3.52126407623291,4.285791397094727,0.022322680801153183,0.0425861275363853,38405.56518887027,38722.98916828896,317.42397941868694,0.008197300524480994,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260427,1200,Run28.xlsx,Run28.csv,2.27901291847229,2.726698875427246,0.02548687718808651,0.04836443358958281,40891.944137115825,42449.22900678442,1557.2848696685978,0.03668582224237113,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260425,1200,Run25.xlsx,Run25.csv,3.4116711616516113,4.243490695953369,0.022857174277305603,0.042849344795073734,22734.664341247895,22834.36330453385,99.69896328595496,0.00436618100344227,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260425,1200,Run11.xlsx,Run11.csv,1.5205198526382446,1.9375710487365723,0.014949506148695946,0.0490175829475841,23239.105253334976,23918.706127369696,679.6008740347206,0.028412944680860766,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260425,1200,Run4.xlsx,Run4.csv,5.537328720092773,5.753571033477783,0.03308572247624397,0.008459056408069078,38910.88378299637,38722.98916828896,187.89461470740935,0.004852275579522669,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260425,1200,Run28.xlsx,Run28.csv,2.4464540481567383,2.8375096321105957,0.025358673185110092,0.05163164258309168,42532.39026330558,42449.22900678442,83.16125652115443,0.0019590757822212325,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260426,1200,Run25.xlsx,Run25.csv,2.934572696685791,3.6374948024749756,0.019840406253933907,0.04240465111318832,22790.46692109015,22834.36330453385,43.89638344370178,0.001922382632625714,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260426,1200,Run11.xlsx,Run11.csv,1.030089259147644,1.3803436756134033,0.01099461130797863,0.06705465736528864,23136.83135416932,23918.706127369696,781.8747732003758,0.032688840652032265,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260426,1200,Run4.xlsx,Run4.csv,3.16629695892334,3.419318914413452,0.0189039409160614,0.03304460625595777,38325.184527196216,38722.98916828896,397.8046410927418,0.010273087115354,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260426,1200,Run28.xlsx,Run28.csv,2.4880945682525635,2.8372278213500977,0.02685028687119484,0.0641657426756687,43006.480192659525,42449.22900678442,557.2511858751022,0.013127474842618224,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
