file_name,source_file,predicted_life,true_life,target_k_factor
Run20.csv,Run20.xlsx,13908.34611048244,13898.924463873347,1.0006778687540594
Run7.csv,Run7.xlsx,13994.505741724195,14533.749424829995,0.9628971391109484
Run12.csv,Run12.xlsx,15068.563941381895,15664.267528137914,0.9619705431048117
Run29.csv,Run29.xlsx,20223.178593251727,20098.92064774445,1.0061823193237605
Run15.csv,Run15.xlsx,22231.151834859105,22894.62099053632,0.9710207408128108
Run30.csv,Run30.xlsx,23697.218661980685,23723.808846679636,0.9988791772488644
Run24.csv,Run24.xlsx,28292.209244598733,27771.30720744056,1.018756842566583
Run16.csv,Run16.xlsx,30260.949475517624,31328.193563571127,0.9659334303496353
Run22.csv,Run22.xlsx,33863.205102965934,33178.210761627095,1.0206459096381135
Run23.csv,Run23.xlsx,34260.421040265515,33275.635931326644,1.0295947795249125
Run18.csv,Run18.xlsx,34934.33432418479,35012.9039323269,0.9977559813863491
Run6.csv,Run6.xlsx,36999.64817834544,37604.83980051039,0.9839065496522408
Run8.csv,Run8.xlsx,40426.62566954782,41489.80405662315,0.9743749479842239
Run26.csv,Run26.xlsx,50418.80710147392,50039.84023076369,1.007573302971444
Run5.csv,Run5.xlsx,54192.063253249915,53661.08553598464,1.0098950237767592
Run9.csv,Run9.xlsx,56726.0149786373,55593.87418134841,1.0203644882455183
Run17.csv,Run17.xlsx,54931.55593687753,55915.01915088077,0.9824114660258012
Run19.csv,Run19.xlsx,68514.45371254932,67933.65407469164,1.0085495126939454
Run10.csv,Run10.xlsx,68747.51677370895,71205.57050271094,0.9654794742651714
Run14.csv,Run14.xlsx,70118.12933516558,72675.52147268367,0.9648108181999171
Run13.csv,Run13.xlsx,75985.36797667538,79652.95293344899,0.9539554426834881
Run3.csv,Run3.xlsx,79159.60081683786,79663.5580372876,0.9936739303030646
Run27.csv,Run27.xlsx,86629.52453290872,89230.28833479666,0.9708533520352446
Run2.csv,Run2.xlsx,119964.43774731622,120776.6067253567,0.9932754446406385
Run21.csv,Run21.xlsx,120528.47746655474,121458.27601237752,0.9923447081882834
Run1.csv,Run1.xlsx,158387.81740251824,159673.07611040428,0.9919506861194473
