model,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_native_actual_step,mean_used_actual_step,step_capped_count,life_error_win_count
LSTM,3.5576308965682983,3.803396701812744,0.02593062026426196,0.0358456146607487,477.51925702608605,388.8365573800111,0.01918415113572291,1076.0389401848515,56.36497315947054,434.75,250.0,4,1
GRU,3.2624539136886597,3.6060057878494263,0.025894919876009226,0.04031278331771984,491.70300844894155,462.2872804159015,0.018633529023205357,906.3562203115216,135.88125265244162,434.75,250.0,4,0
1D-CNN,4.992269814014435,5.779420971870422,0.03885814268141985,0.048215662319872205,657.737251483205,379.10102722141346,0.019257800485357204,1856.6341699794575,16.11278151053557,434.75,250.0,4,3
Transformer,2.2769069969654083,2.6293676495552063,0.018230250803753734,0.04865915686387755,855.2194307735826,817.9028352464084,0.02738768833982781,1117.5506818758877,667.5213707256262,434.75,250.0,4,0
FNN,5.348723649978638,6.25611487030983,0.03529300889931619,0.1358419993449266,2394.3094676309765,1814.660357335255,0.07140171875151397,4710.885663520647,1237.0314923327496,434.75,250.0,4,0
