test_case,model,step_mode,actual_step_cap,native_actual_step,used_actual_step,native_sim_step,used_sim_step,step_capped,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
Run30.xlsx,FNN,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,6.2244157791137695,6.930980205535889,0.04088219255208969,0.0750567282608872,22486.777354346887,23723.808846679636,1237.0314923327496,0.05214303910166109
Run11.xlsx,FNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,2.1545441150665283,2.498047113418579,0.022035257890820503,0.08110096146094803,22544.436116941528,23918.706127369696,1374.2700104281685,0.05745586751683106
Run4.xlsx,FNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,11.768064498901367,13.967710494995117,0.06299354881048203,0.2858701451866121,34012.10350476831,38722.98916828896,4710.885663520647,0.12165604372759753
Run8.xlsx,FNN,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,1.2478702068328857,1.6277216672897339,0.015261036343872547,0.10134016247125906,39234.75335238081,41489.80405662315,2255.0507042423415,0.0543519246599662
Run30.xlsx,GRU,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,3.9960992336273193,4.192648410797119,0.02501009590923786,0.06371532519700969,22817.452626368115,23723.808846679636,906.3562203115216,0.038204498534322597
Run11.xlsx,GRU,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,1.9500486850738525,2.311185359954834,0.019073311239480972,0.041257707596018496,23344.504916360434,23918.706127369696,574.2012110092619,0.024006365894190862
Run4.xlsx,GRU,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,4.279082298278809,4.714770793914795,0.026649974286556244,0.03908601773183722,38372.61581846642,38722.98916828896,350.37334982254106,0.009048199980115919
Run8.xlsx,GRU,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,2.824585437774658,3.205418586730957,0.032846298068761826,0.017192082746013963,41625.68530927559,41489.80405662315,135.88125265244162,0.0032750516841920456
Run30.xlsx,LSTM,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,5.437459468841553,5.58827543258667,0.03351050987839699,0.0771434820929839,22647.769906494785,23723.808846679636,1076.0389401848515,0.04535692169579477
Run11.xlsx,LSTM,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,1.5934278964996338,1.9753961563110352,0.0158129520714283,0.046115216635858526,23296.9418123937,23918.706127369696,621.764314975997,0.025994897536055453
Run4.xlsx,LSTM,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,5.007918357849121,5.122167587280273,0.02870982512831688,0.00965915970868122,38567.08036850493,38722.98916828896,155.90879978402518,0.004026259416762745
Run8.xlsx,LSTM,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,2.1917178630828857,2.527747631072998,0.025689193978905678,0.010464600205471153,41433.43908346368,41489.80405662315,56.36497315947054,0.0013585258942786648
Run30.xlsx,1D-CNN,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,5.443539142608643,5.782206058502197,0.03335312381386757,0.035523014740042616,23238.153038388606,23723.808846679636,485.65580829103055,0.02047124099800705
Run11.xlsx,1D-CNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,2.9382293224334717,3.5126752853393555,0.03005368635058403,0.034109419551453884,23646.1598812179,23918.706127369696,272.54624615179637,0.011394690193543838
Run4.xlsx,1D-CNN,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,7.215634822845459,8.892010688781738,0.04048836603760719,0.025128228030207842,38706.87638677842,38722.98916828896,16.11278151053557,0.0004161037630775326
Run8.xlsx,1D-CNN,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,4.371675968170166,4.930791854858398,0.051537394523620605,0.09810198695778449,43346.43822660261,41489.80405662315,1856.6341699794575,0.04474916698680039
Run30.xlsx,Transformer,固定250,250.0,435.0,250.0,0.09999996423750002,0.05747124381465519,1,3.0589282512664795,3.4967856407165527,0.019873585551977158,0.04012722767847982,23056.28747595401,23723.808846679636,667.5213707256262,0.028137192262828906
Run11.xlsx,Transformer,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,1.3694208860397339,1.7752788066864014,0.014421341009438038,0.0616939342310142,23153.293450925863,23918.706127369696,765.4126764438333,0.03200058867598975
Run4.xlsx,Transformer,固定250,250.0,326.0,250.0,0.059999942780000204,0.04601222605828237,1,2.765190601348877,3.0154759883880615,0.01680452562868595,0.05778403763075318,37852.596174239974,38722.98916828896,870.3929940489834,0.022477422656249014
Run8.xlsx,Transformer,固定250,250.0,652.0,250.0,0.059999942780000204,0.023006113029141184,1,1.914088249206543,2.2299301624298096,0.021821551024913788,0.03503142791526299,40372.25337474726,41489.80405662315,1117.5506818758877,0.02693554976424357
