test_case,model,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
试验7.xlsx,Transformer_R3b,18.50046730041504,21.60972023010254,0.08548252284526825,0.1912018751958137,15757.636228510295,14533.749424829995,1223.8868036802996,0.08420998380427325
试验12.xlsx,Transformer_R3b,26.740394592285156,27.397829055786133,0.19375112652778625,0.31345386442105594,13023.89608059199,15664.267528137914,2640.3714475459237,0.16856016042901414
试验11.xlsx,Transformer_R3b,8.715237617492676,10.333051681518555,0.07700177282094955,0.13118316684521253,24667.529647595962,23918.706127369696,748.8235202262658,0.03130702456222756
试验6.xlsx,Transformer_R3b,26.652538299560547,35.74541091918945,0.35163938999176025,0.2618504776432336,31770.05270227984,37604.83980051039,5834.787098230547,0.15516053596248414
试验4.xlsx,Transformer_R3b,20.40225601196289,21.572998046875,0.12016521394252777,0.12341586666539679,38699.37044509853,38722.98916828896,23.618723190425953,0.0006099405985364323
试验8.xlsx,Transformer_R3b,27.772478103637695,36.945465087890625,0.24502360820770264,0.22612093064969505,35257.2710986277,41489.80405662315,6232.532957995449,0.15021842353098627
试验14.xlsx,Transformer_R3b,2.722822666168213,3.2572407722473145,0.03509797528386116,0.46968814526329195,45301.48898862373,72675.52147268367,27374.032484059942,0.37666097097561163
试验3.xlsx,Transformer_R3b,73.6681900024414,93.93497467041016,1.0613205432891846,0.3406448222137193,57019.89583277824,79634.20652173914,22614.310688960897,0.28397734688029413
试验13.xlsx,Transformer_R3b,19.205358505249023,23.5864315032959,0.22445359826087952,0.6261565416262359,41833.5211803813,79652.95293344899,37819.43175306769,0.47480263267409917
试验1.xlsx,Transformer_R3b,27.110458374023438,27.608057022094727,0.7047182321548462,0.8012156945679045,90725.35982156252,160991.85166086955,70266.49183930703,0.436459927098198
