model,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,life_error_win_count
GRU,4.372623950242996,4.884923577308655,0.03893943876028061,0.08516096660764708,895.2942812342012,810.0098886543346,0.03423293336657124,1626.2717144138533,334.8856332142823,2
LSTM,8.149942249059677,8.378466159105301,0.05966887762770057,0.11807852107269345,1712.678235392602,1873.4636151323884,0.058086814227763024,2688.811209618638,414.9745016869929,1
Transformer,5.480163887143135,5.663647621870041,0.04169275565072894,0.10409953275312893,1790.8902333647475,1628.269593199435,0.05235021649518807,3468.096195178441,438.925551881679,0
1D-CNN,5.001201093196869,6.007155120372772,0.04721508268266916,0.10753118091714756,2149.6917781337725,1580.4113967923695,0.03423645617664445,5283.172182197479,154.77213675287203,0
FNN,4.833301305770874,5.7354689836502075,0.03869014838710427,0.0980909481320941,2465.740283007887,2635.7174010221024,0.04806077500779068,4503.664794169454,87.86153581788858,1
