test_case,model,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
Run12.xlsx,FNN,4.930068492889404,5.911121368408203,0.029934534803032875,0.015356485843176735,15576.405992320026,15664.267528137914,87.86153581788858,0.005609042086395794
Run4.xlsx,FNN,10.576510429382324,11.911615371704102,0.05785148963332176,0.2610000323150999,34219.324374119504,38722.98916828896,4503.664794169454,0.11630467820024587
Run26.xlsx,FNN,1.7922649383544922,2.0650529861450195,0.029521536082029343,0.05786393284190506,48757.79813632925,50039.84023076369,1282.0420944344442,0.025620427413880213
Run27.xlsx,FNN,2.0343613624572754,3.054086208343506,0.03745303303003311,0.058143341528194746,85240.8956271869,89230.28833479666,3989.3927076097607,0.04470895233064084
Run12.xlsx,GRU,10.039859771728516,10.356250762939453,0.06835892051458359,0.1900251241034757,14037.995813724061,15664.267528137914,1626.2717144138533,0.10382047622032511
Run4.xlsx,GRU,3.915894031524658,4.476224422454834,0.024678578600287437,0.053649837662198684,38157.6813090084,38722.98916828896,565.3078592805541,0.014598766041116894
Run26.xlsx,GRU,1.3777977228164673,1.8474149703979492,0.020390255376696587,0.04300765467649261,49704.95459754941,50039.84023076369,334.8856332142823,0.006692380144899023
Run27.xlsx,GRU,2.1569442749023438,2.859804153442383,0.042330000549554825,0.05396124998842133,90285.00025282477,89230.28833479666,1054.7119180281152,0.011820111059943923
Run12.xlsx,LSTM,23.136518478393555,23.221105575561523,0.1495804339647293,0.3428874023733494,13005.113479302496,15664.267528137914,2659.1540488354185,0.1697592334948792
Run4.xlsx,LSTM,6.81764554977417,6.894969940185547,0.03938748314976692,0.018444466739875362,39137.96366997595,38722.98916828896,414.9745016869929,0.010716489367169617
Run26.xlsx,LSTM,1.1634314060211182,1.510475754737854,0.016896603628993034,0.070023024492031,48952.067049334335,50039.84023076369,1087.7731814293584,0.021738142576254928
Run27.xlsx,LSTM,1.4821735620498657,1.8873133659362793,0.032810989767313004,0.040959190685518045,86541.47712517802,89230.28833479666,2688.811209618638,0.030133391472748346
Run12.xlsx,1D-CNN,10.402604103088379,12.811676025390625,0.060648247599601746,0.10007608636042968,15819.039664890786,15664.267528137914,154.77213675287203,0.009880585637014496
Run4.xlsx,1D-CNN,3.9274938106536865,4.2758355140686035,0.023487143218517303,0.06251680044019492,37919.81639073759,38722.98916828896,803.1727775513646,0.020741497358605237
Run26.xlsx,1D-CNN,2.0450289249420166,2.7206852436065674,0.02906821295619011,0.1156314319335987,47682.19021473032,50039.84023076369,2357.6500160333744,0.04711545850587926
Run27.xlsx,1D-CNN,3.6296775341033936,4.220423698425293,0.07565672695636749,0.15190040493436693,94513.46051699414,89230.28833479666,5283.172182197479,0.05920828320507879
Run12.xlsx,Transformer,16.858055114746094,16.97638511657715,0.11244174093008041,0.25985738513004186,13518.125108751405,15664.267528137914,2146.1424193865096,0.137008795050989
Run4.xlsx,Transformer,3.3877553939819336,3.6190202236175537,0.020783888176083565,0.03961475183580803,38284.06361640728,38722.98916828896,438.925551881679,0.011335012128689797
Run26.xlsx,Transformer,0.5792734026908875,0.7430903911590576,0.008184947073459625,0.06178303922598615,48929.44346375133,50039.84023076369,1110.3967670123602,0.022190254043411316
Run27.xlsx,Transformer,1.0955716371536255,1.3160947561264038,0.02536044642329216,0.05514295482067967,85762.19213961822,89230.28833479666,3468.096195178441,0.03886680475766216
