test_case,model,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
Run7.xlsx,FNN,50.855342864990234,51.68403625488281,0.262528657913208,0.3474505180002071,18590.61345029449,14533.749424829995,4056.864025464496,0.2791340284519836
Run7.xlsx,GRU,39.15168380737305,39.3279914855957,0.1980263739824295,0.30361435719267316,17063.044943119796,14533.749424829995,2529.2955182898004,0.1740291128157651
Run7.xlsx,Transformer,38.090248107910156,39.79384231567383,0.1862592250108719,0.34225985535164066,17653.888084185797,14533.749424829995,3120.138659355802,0.21468229347791296
Run12.xlsx,FNN,20.163164138793945,21.18344497680664,0.13596399128437042,0.31285895057464747,13533.25056810957,15664.267528137914,2131.0169600283443,0.1360431923293172
Run12.xlsx,GRU,13.526078224182129,14.09307861328125,0.09546206891536713,0.22539799524712908,13830.958963666659,15664.267528137914,1833.3085644712555,0.11703761833600333
Run12.xlsx,Transformer,40.81810760498047,41.079341888427734,0.2851836085319519,0.4679695645517681,12013.81671287658,15664.267528137914,3650.4508152613344,0.2330431862647893
Run11.xlsx,FNN,10.367603302001953,12.129118919372559,0.11755548417568207,0.06845236429155255,25160.80610059892,23918.706127369696,1242.099973229222,0.05193006538961202
Run11.xlsx,GRU,13.678725242614746,17.71367073059082,0.11430926620960236,0.2942898957440737,25821.04003208656,23918.706127369696,1902.333904716863,0.07953331148377045
Run11.xlsx,Transformer,7.169241905212402,8.088484764099121,0.06745132058858871,0.057102958673498086,24130.993108084695,23918.706127369696,212.2869807149982,0.008875353858379592
Run6.xlsx,FNN,42.37366485595703,47.490570068359375,0.5440489649772644,0.4686091158436387,27918.49645489447,37604.83980051039,9686.343345615918,0.25758235899955756
Run6.xlsx,GRU,72.73692321777344,72.92853546142578,0.8803532719612122,0.9084649909190958,20072.88514057134,37604.83980051039,17531.95465993905,0.46621537953476666
Run6.xlsx,Transformer,27.270902633666992,31.02230453491211,0.3494332432746887,0.34028824888794496,29753.97851882989,37604.83980051039,7850.8612816805,0.20877262935644642
Run4.xlsx,FNN,43.000152587890625,60.708858489990234,0.28557342290878296,0.19562221914634736,31637.60223273488,38722.98916828896,7085.386935554077,0.18297623937969243
Run4.xlsx,GRU,18.876266479492188,20.16425323486328,0.11026488989591599,0.11774102203840639,38796.363881160534,38722.98916828896,73.37471287157678,0.0018948617977990402
Run4.xlsx,Transformer,35.031227111816406,41.62563705444336,0.21636202931404114,0.13234777753733615,36647.4020691953,38722.98916828896,2075.58709909366,0.05360090074847322
Run8.xlsx,FNN,31.194177627563477,38.03691864013672,0.2782728672027588,0.04820164780816781,39546.31177189823,41489.80405662315,1943.4922847249181,0.046842647944843024
Run8.xlsx,GRU,19.776071548461914,23.761125564575195,0.20621538162231445,0.05684546404493349,38337.34408547637,41489.80405662315,3152.4599711467818,0.0759815584292581
Run8.xlsx,Transformer,28.988048553466797,37.74555587768555,0.3119564354419708,0.05650014513546305,38363.12571059356,41489.80405662315,3126.678346029592,0.07536016178245773
Run14.xlsx,FNN,3.045015573501587,4.4770989418029785,0.05912212282419205,0.53765079134187,44900.14208485829,72675.52147268367,27775.37938782538,0.3821834205656884
Run14.xlsx,GRU,9.313714027404785,10.467369079589844,0.10845325142145157,0.4279374892622373,46582.12555157519,72675.52147268367,26093.39592110848,0.3590396792806795
Run14.xlsx,Transformer,7.488717079162598,9.173389434814453,0.08045835047960281,0.41170763793137477,46771.58093644328,72675.52147268367,25903.940536240392,0.3564328127453042
Run3.xlsx,FNN,17.49600601196289,18.738311767578125,0.2350691258907318,0.23014403157423247,63916.669100407365,79634.20652173914,15717.53742133177,0.19737168370028374
Run3.xlsx,GRU,36.932281494140625,50.73002243041992,0.4904685914516449,0.41303530341938816,52087.625278569285,79634.20652173914,27546.58124316985,0.34591392877946214
Run3.xlsx,Transformer,18.416994094848633,20.444032669067383,0.23757405579090118,0.24343197977025116,71210.93604674836,79634.20652173914,8423.270474990772,0.10577452633613327
Run13.xlsx,FNN,7.506050109863281,9.164084434509277,0.13369031250476837,0.7178280449216815,41866.90571734754,79652.95293344899,37786.047216101455,0.47438350776112664
Run13.xlsx,GRU,5.271308898925781,6.235411643981934,0.08909644931554794,0.37309033920108703,48374.390214897816,79652.95293344899,31278.562718551177,0.3926855385347081
Run13.xlsx,Transformer,3.0791165828704834,3.7896769046783447,0.04558552801609039,0.4636318719364174,45597.89345806192,79652.95293344899,34055.059475387076,0.42754296257968605
Run1.xlsx,FNN,6.3340744972229,9.838323593139648,0.13029435276985168,0.6378741539859518,110450.15030503899,160991.85166086955,50541.70135583056,0.31393949963565243
Run1.xlsx,GRU,24.706518173217773,25.225677490234375,0.6175649762153625,0.8896919933903525,84056.98254848158,160991.85166086955,76934.86911238797,0.47788051580679874
Run1.xlsx,Transformer,25.383697509765625,26.98845100402832,0.671870231628418,0.7083544548339511,95468.40757233475,160991.85166086955,65523.4440885348,0.40699851211451615
