model,mean_pressure_mae,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,life_error_win_count
Transformer,23.173630118370056,0.32235944946096456,15394.171775728892,5750.656048470917,0.20910833392640987,4
FNN,23.233525156974792,0.3564691837488297,15796.586890570616,8385.865140584998,0.23223866441577573,2
GRU,25.396957111358642,0.4010108850459376,18887.61363266528,10342.207315542915,0.2490211504799011,4
