Step_Time,CPRESS,CWEAR
0.000875000027008,1.3684700000e+02,1.8436800000e-06
0.0035468749702,1.3688000000e+02,7.9627100000e-06
0.0125644532964,1.3660300000e+02,2.8581300000e-05
0.0429987795651,1.3527900000e+02,9.7676800000e-05
0.102998778224,1.3219900000e+02,2.3148300000e-04
0.162998780608,1.2903400000e+02,3.6207300000e-04
0.222998782992,1.2613500000e+02,4.8949300000e-04
0.282998770475,1.2393400000e+02,5.8501600000e-04
0.34299877286,1.2109600000e+02,7.0746800000e-04
0.402998775244,1.1846500000e+02,8.2723100000e-04
0.462998777628,1.1588300000e+02,9.4439700000e-04
0.52299875021,1.1367200000e+02,1.0591100000e-03
0.582998752594,1.1137400000e+02,1.1714400000e-03
0.642998754978,1.0913200000e+02,1.2816300000e-03
0.702998757362,1.0700000000e+02,1.3896400000e-03
0.762998759747,1.0501800000e+02,1.4708600000e-03
0.822998762131,1.0359900000e+02,1.5754300000e-03
0.882998764515,1.0177200000e+02,1.6779200000e-03
0.942998766899,9.9831500000e+01,1.7787000000e-03
1.00299882889,9.7969500000e+01,1.8774800000e-03
1.06299877167,9.6467800000e+01,1.9747300000e-03
1.12299883366,9.4951700000e+01,2.0703600000e-03
1.18299877644,9.3420600000e+01,2.1645300000e-03
1.24299883842,9.2180500000e+01,2.2572800000e-03
1.3029987812,9.1060500000e+01,2.3273400000e-03
1.36299872398,8.9726400000e+01,2.4176600000e-03
1.42299878597,8.8405500000e+01,2.5068200000e-03
1.48299872875,8.7270600000e+01,2.5945900000e-03
1.54299879074,8.6179600000e+01,2.6813000000e-03
1.60299873352,8.5064900000e+01,2.7669900000e-03
1.66299879551,8.4100400000e+01,2.8516500000e-03
1.72299873829,8.3265900000e+01,2.9352400000e-03
1.78299880028,8.2470500000e+01,2.9987100000e-03
1.84299874306,8.1534000000e+01,3.0807400000e-03
1.90299880505,8.0489400000e+01,3.1617900000e-03
1.96299874783,7.9687000000e+01,3.2419100000e-03
2.02299880981,7.8880800000e+01,3.3210600000e-03
2.08299875259,7.8141700000e+01,3.3995200000e-03
2.14299869537,7.7337800000e+01,3.4772700000e-03
2.20299887657,7.6626300000e+01,3.5542900000e-03
2.26299881935,7.6016500000e+01,3.6127700000e-03
2.32299876213,7.5616700000e+01,3.6887500000e-03
2.38299870491,7.4968400000e+01,3.7640000000e-03
2.44299888611,7.4305800000e+01,3.8386900000e-03
2.50299882889,7.3607100000e+01,3.9126000000e-03
2.56299877167,7.3238900000e+01,3.9861800000e-03
2.62299871445,7.2721400000e+01,4.0591300000e-03
2.68299889565,7.2291900000e+01,4.1316500000e-03
2.74299883842,7.1933700000e+01,4.2037400000e-03
2.8029987812,7.1516600000e+01,4.2586600000e-03
2.86299872398,7.0998200000e+01,4.3298700000e-03
2.92299866676,7.0481100000e+01,4.4006500000e-03
2.98299884796,7.0123300000e+01,4.4708900000e-03
3.04299879074,6.9644100000e+01,4.5407100000e-03
3.10299873352,6.9197900000e+01,4.6100900000e-03
3.1629986763,6.8906300000e+01,4.6791800000e-03
3.2229988575,6.8555600000e+01,4.7477900000e-03
3.28299880028,6.8353800000e+01,4.8002200000e-03
3.34299874306,6.8133200000e+01,4.8684400000e-03
3.40299868584,6.7944800000e+01,4.9363200000e-03
3.46299886703,6.7671200000e+01,5.0037700000e-03
3.52299880981,6.7482400000e+01,5.0709800000e-03
3.58299875259,6.7321200000e+01,5.1379000000e-03
3.64299869537,6.7030500000e+01,5.2045800000e-03
3.70299887657,6.6774700000e+01,5.2710200000e-03
3.76299881935,6.7000000000e+01,5.3217300000e-03
3.82299876213,6.8000000000e+01,5.3879000000e-03
3.88299870491,6.9000000000e+01,5.4536700000e-03
3.94299888611,7.0000000000e+01,5.5192300000e-03
4.00299882889,7.1000000000e+01,5.5843300000e-03
4.06299877167,7.2000000000e+01,5.6492700000e-03
4.12299871445,7.3000000000e+01,5.7139900000e-03
4.18299865723,7.4000000000e+01,5.7785100000e-03
4.24299860001,7.5000000000e+01,5.8427700000e-03
4.30299854279,7.6000000000e+01,5.8919700000e-03
4.3629989624,7.7000000000e+01,5.9560200000e-03
4.42299890518,7.8000000000e+01,6.0200300000e-03
4.48299884796,6.4529500000e+01,6.0836100000e-03
