Step_Time,CPRESS,CWEAR
0.000875000027008,1.8143700000e+02,2.8376900000e-07
0.0035468749702,1.8158100000e+02,1.2964600000e-06
0.0125644532964,1.8156900000e+02,4.7248000000e-06
0.0429987795651,1.8120500000e+02,1.6268500000e-05
0.102998778224,1.8048800000e+02,3.8954900000e-05
0.162998780608,1.7978700000e+02,6.1549900000e-05
0.222998782992,1.7895200000e+02,8.4077400000e-05
0.282998770475,1.7824200000e+02,1.0116600000e-04
0.34299877286,1.7748300000e+02,1.2350800000e-04
0.402998775244,1.7676300000e+02,1.4575800000e-04
0.462998777628,1.7601900000e+02,1.6791600000e-04
0.52299875021,1.7518700000e+02,1.8996500000e-04
0.582998752594,1.7438000000e+02,2.1191400000e-04
0.642998754978,1.7372600000e+02,2.3377200000e-04
0.702998757362,1.7332600000e+02,2.5556500000e-04
0.762998759747,1.7280100000e+02,2.7211900000e-04
0.822998762131,1.7222700000e+02,2.9375800000e-04
0.882998764515,1.7149800000e+02,3.1530100000e-04
0.942998766899,1.7073500000e+02,3.3676000000e-04
1.00299882889,1.6993100000e+02,3.5812000000e-04
1.06299877167,1.6912100000e+02,3.7937800000e-04
1.12299883366,1.6839000000e+02,4.0054700000e-04
1.18299877644,1.6796300000e+02,4.2164400000e-04
1.24299883842,1.6714300000e+02,4.4268000000e-04
1.3029987812,1.6689200000e+02,4.5865000000e-04
1.36299872398,1.6615900000e+02,4.7952800000e-04
1.42299878597,1.6541200000e+02,5.0032800000e-04
1.48299872875,1.6468200000e+02,5.2103700000e-04
1.54299879074,1.6396700000e+02,5.4165100000e-04
1.60299873352,1.6336200000e+02,5.6218100000e-04
1.66299879551,1.6285100000e+02,5.8263500000e-04
1.72299873829,1.6221700000e+02,6.0304900000e-04
1.78299880028,1.6178500000e+02,6.1855200000e-04
1.84299874306,1.6107900000e+02,6.3882100000e-04
1.90299880505,1.6041100000e+02,6.5900800000e-04
1.96299874783,1.5976700000e+02,6.7911300000e-04
2.02299880981,1.5902900000e+02,6.9912300000e-04
2.08299875259,1.5838100000e+02,7.1904700000e-04
2.14299869537,1.5784900000e+02,7.3889500000e-04
2.20299887657,1.5752900000e+02,7.5869700000e-04
2.26299881935,1.5724300000e+02,7.7375500000e-04
2.32299876213,1.5667000000e+02,7.9344500000e-04
2.38299870491,1.5600900000e+02,8.1304400000e-04
2.44299888611,1.5535300000e+02,8.3257000000e-04
2.50299882889,1.5467700000e+02,8.5201200000e-04
2.56299877167,1.5401800000e+02,8.7137000000e-04
2.62299871445,1.5344800000e+02,8.9065900000e-04
2.68299889565,1.5325900000e+02,9.0989300000e-04
2.74299883842,1.5265900000e+02,9.2909100000e-04
2.8029987812,1.5240900000e+02,9.4368500000e-04
2.86299872398,1.5173000000e+02,9.6275400000e-04
2.92299866676,1.5105600000e+02,9.8175200000e-04
2.98299884796,1.5040600000e+02,1.0006700000e-03
3.04299879074,1.4979100000e+02,1.0195000000e-03
3.10299873352,1.4929800000e+02,1.0382500000e-03
3.1629986763,1.4894100000e+02,1.0569500000e-03
3.2229988575,1.4846800000e+02,1.0756300000e-03
3.28299880028,1.4823100000e+02,1.0898300000e-03
3.34299874306,1.4752800000e+02,1.1083900000e-03
3.40299868584,1.4690200000e+02,1.1268700000e-03
3.46299886703,1.4634500000e+02,1.1452900000e-03
3.52299880981,1.4572200000e+02,1.1636200000e-03
3.58299875259,1.4531100000e+02,1.1818900000e-03
3.64299869537,1.4491300000e+02,1.2001000000e-03
3.70299887657,1.4468700000e+02,1.2182800000e-03
3.76299881935,1.4465900000e+02,1.2321200000e-03
3.82299876213,1.4406100000e+02,1.2502300000e-03
3.88299870491,1.4342500000e+02,1.2682500000e-03
3.94299888611,1.4280900000e+02,1.2862100000e-03
4.00299882889,1.4218900000e+02,1.3040800000e-03
4.06299877167,1.4161200000e+02,1.3218800000e-03
4.12299871445,1.4119500000e+02,1.3396200000e-03
4.18299865723,1.4113400000e+02,1.3573200000e-03
4.24299860001,1.4072600000e+02,1.3750100000e-03
4.30299854279,1.4047500000e+02,1.3884700000e-03
4.3629989624,1.3983200000e+02,1.4060500000e-03
4.42299890518,1.3924500000e+02,1.4235600000e-03
4.48299884796,1.3870800000e+02,1.4410000000e-03
4.54299879074,1.3823400000e+02,1.4583700000e-03
4.60299873352,1.3790000000e+02,1.4756900000e-03
4.6629986763,1.3771700000e+02,1.4929600000e-03
4.72299861908,1.3737200000e+02,1.5102300000e-03
4.78299856186,1.3733700000e+02,1.5233800000e-03
4.84299898148,1.3661900000e+02,1.5405700000e-03
4.90299892426,1.3600500000e+02,1.5576800000e-03
4.96299886703,1.3545400000e+02,1.5747200000e-03
5.02299880981,1.3488000000e+02,1.5916900000e-03
5.08299875259,1.3457600000e+02,1.6086000000e-03
5.14299869537,1.3429900000e+02,1.6254600000e-03
5.20299863815,1.3417900000e+02,1.6423100000e-03
5.26299858093,1.3430100000e+02,1.6551500000e-03
5.32299900055,1.3367300000e+02,1.6719600000e-03
5.38299894333,1.3308200000e+02,1.6886800000e-03
5.44299888611,1.3253300000e+02,1.7053500000e-03
5.50299882889,1.3201600000e+02,1.7219400000e-03
5.56299877167,1.3156600000e+02,1.7384700000e-03
5.62299871445,1.3135100000e+02,1.7549700000e-03
5.68299865723,1.3140800000e+02,1.7714300000e-03
5.74299860001,1.3117700000e+02,1.7879100000e-03
5.80299854279,1.3091500000e+02,1.8004600000e-03
5.8629989624,1.3030000000e+02,1.8168400000e-03
5.92299890518,1.2971800000e+02,1.8331600000e-03
5.98299884796,1.2921200000e+02,1.8494100000e-03
6.04299879074,1.2879000000e+02,1.8656000000e-03
6.10299873352,1.2855300000e+02,1.8817300000e-03
6.1629986763,1.2850500000e+02,1.8978300000e-03
6.22299861908,1.2831300000e+02,1.9139500000e-03
6.28299856186,1.2834500000e+02,1.9262400000e-03
6.34299898148,1.2761700000e+02,1.9422900000e-03
6.40299892426,1.2705500000e+02,1.9582700000e-03
6.46299886703,1.2654800000e+02,1.9742000000e-03
6.52299880981,1.2612300000e+02,1.9900500000e-03
6.58299875259,1.2596900000e+02,2.0058700000e-03
6.64299869537,1.2581600000e+02,2.0216500000e-03
6.70299863815,1.2580000000e+02,2.0374300000e-03
6.76299858093,1.2606800000e+02,2.0494800000e-03
6.82299900055,1.2540500000e+02,2.0652500000e-03
6.88299894333,1.2484000000e+02,2.0809400000e-03
6.94299888611,1.2427000000e+02,2.0965600000e-03
7.00299882889,1.2377500000e+02,2.1121200000e-03
7.06299877167,1.2337300000e+02,2.1276200000e-03
7.12299871445,1.2325500000e+02,2.1430900000e-03
7.18299865723,1.2400000000e+02,2.1585500000e-03
7.24299860001,1.2500000000e+02,2.1740200000e-03
7.30299854279,1.2600000000e+02,2.1858300000e-03
7.3629989624,1.2700000000e+02,2.2012200000e-03
7.42299890518,1.2800000000e+02,2.2165600000e-03
7.48299884796,1.2900000000e+02,2.2318400000e-03
7.54299879074,1.3000000000e+02,2.2470600000e-03
7.60299873352,1.3100000000e+02,2.2622500000e-03
7.6629986763,1.3200000000e+02,2.2774200000e-03
7.72299861908,1.3300000000e+02,2.2926100000e-03
7.78299856186,1.3400000000e+02,2.3042100000e-03
7.84299898148,1.3500000000e+02,2.3193700000e-03
7.90299892426,1.3600000000e+02,2.3344500000e-03
7.96299886703,1.3700000000e+02,2.3494700000e-03
8.02299880981,1.3800000000e+02,2.3644400000e-03
8.08299922943,1.3900000000e+02,2.3793500000e-03
8.14299869537,1.4000000000e+02,2.3942400000e-03
8.20299911499,1.4100000000e+02,2.4091500000e-03
8.26299858093,1.4200000000e+02,2.4205400000e-03
8.32299900055,1.4300000000e+02,2.4354500000e-03
8.38299846649,1.4400000000e+02,2.4502800000e-03
8.44299888611,1.4500000000e+02,2.4650600000e-03
8.50299835205,1.4600000000e+02,2.4797800000e-03
8.56299877167,1.4700000000e+02,2.4944500000e-03
8.62299919128,1.4800000000e+02,2.5091000000e-03
8.68299865723,1.4900000000e+02,2.5237500000e-03
8.74299907684,1.5000000000e+02,2.5384300000e-03
8.80299854279,1.5100000000e+02,2.5496400000e-03
8.8629989624,1.5200000000e+02,2.5642600000e-03
8.92299842834,1.5300000000e+02,2.5788100000e-03
8.98299884796,1.5400000000e+02,2.5933100000e-03
9.0429983139,1.5500000000e+02,2.6077500000e-03
9.10299873352,1.5600000000e+02,2.6221600000e-03
9.16299915314,1.5700000000e+02,2.6365600000e-03
9.22299861908,1.5800000000e+02,2.6509900000e-03
9.2829990387,1.5900000000e+02,2.6620200000e-03
9.34299850464,1.6000000000e+02,2.6764300000e-03
9.40299892426,1.6100000000e+02,2.6907600000e-03
9.4629983902,1.6200000000e+02,2.7050500000e-03
9.52299880981,1.6300000000e+02,2.7192800000e-03
9.58299922943,1.6400000000e+02,2.7334800000e-03
9.64299869537,1.6500000000e+02,2.7476700000e-03
9.70299911499,1.6600000000e+02,2.7618700000e-03
9.76299858093,1.6700000000e+02,2.7727400000e-03
9.82299900055,1.6800000000e+02,2.7869800000e-03
9.88299846649,1.6900000000e+02,2.8011300000e-03
9.94299888611,1.7000000000e+02,2.8152300000e-03
10,1.1167700000e+02,2.8285700000e-03
