candidate,test_files,runs,F_values,D_values,Cr_values,lifes,native_steps,max_native_step,coarse_step_count,max_life,min_life,life_ratio,duplicate_F_Cr,has_Run30_Run24_conflict,explainability_penalty
Run15_Run9_Run25_Run22,Run15.csv;Run9.csv;Run25.csv;Run22.csv,Run15;Run9;Run25;Run22,2160;2150;4000;3000,8;13;16;22,0.032;0.01;0.03;0.04,23060;55931;23074;34192,326;1087;543;1087,1087.0,2,55931.0,23060.0,2.4254553339115352,0,0,2
Run15_Run9_Run8_Run22,Run15.csv;Run9.csv;Run8.csv;Run22.csv,Run15;Run9;Run8;Run22,2160;2150;2150;3000,8;13;16;22,0.032;0.01;0.03;0.04,23060;55931;41554;34192,326;1087;652;1087,1087.0,2,55931.0,23060.0,2.4254553339115352,0,0,2
Run15_Run30_Run24_Run11,Run15.csv;Run30.csv;Run24.csv;Run11.csv,Run15;Run30;Run24;Run11,2160;4000;4000;4500,8;13;16;22,0.032;0.02;0.02;0.04,23060;24111;27965;24038,326;435;543;326,543.0,0,27965.0,23060.0,1.2127059843885517,1,1,5
Run16_Run30_Run24_Run11,Run16.csv;Run30.csv;Run24.csv;Run11.csv,Run16;Run30;Run24;Run11,2160;4000;4000;4500,8;13;16;22,0.016;0.02;0.02;0.04,31421;24111;27965;24038,163;435;543;326,543.0,0,31421.0,24038.0,1.3071386970629837,1,1,5
Run16_Run30_Run24_Run18,Run16.csv;Run30.csv;Run24.csv;Run18.csv,Run16;Run30;Run24;Run18,2160;4000;4000;4500,8;13;16;22,0.016;0.02;0.02;0.02,31421;24111;27965;35031,163;435;543;543,543.0,0,35031.0,24111.0,1.4529053129277094,1,1,5
Run15_Run30_Run24_Run18,Run15.csv;Run30.csv;Run24.csv;Run18.csv,Run15;Run30;Run24;Run18,2160;4000;4000;4500,8;13;16;22,0.032;0.02;0.02;0.02,23060;24111;27965;35031,326;435;543;543,543.0,0,35031.0,23060.0,1.5191240242844752,1,1,5
Run4_Run30_Run24_Run18,Run4.csv;Run30.csv;Run24.csv;Run18.csv,Run4;Run30;Run24;Run18,2160;4000;4000;4500,8;13;16;22,0.008;0.02;0.02;0.02,39038;24111;27965;35031,326;435;543;543,543.0,0,39038.0,24111.0,1.6190950188710547,1,1,5
Run4_Run30_Run24_Run11,Run4.csv;Run30.csv;Run24.csv;Run11.csv,Run4;Run30;Run24;Run11,2160;4000;4000;4500,8;13;16;22,0.008;0.02;0.02;0.04,39038;24111;27965;24038,326;435;543;326,543.0,0,39038.0,24038.0,1.6240119810300357,1,1,5
Run16_Run30_Run24_Run22,Run16.csv;Run30.csv;Run24.csv;Run22.csv,Run16;Run30;Run24;Run22,2160;4000;4000;3000,8;13;16;22,0.016;0.02;0.02;0.04,31421;24111;27965;34192,163;435;543;1087,1087.0,1,34192.0,24111.0,1.4181079175480071,1,1,6
Run15_Run30_Run24_Run22,Run15.csv;Run30.csv;Run24.csv;Run22.csv,Run15;Run30;Run24;Run22,2160;4000;4000;3000,8;13;16;22,0.032;0.02;0.02;0.04,23060;24111;27965;34192,326;435;543;1087,1087.0,1,34192.0,23060.0,1.482740676496097,1,1,6
Run4_Run30_Run24_Run22,Run4.csv;Run30.csv;Run24.csv;Run22.csv,Run4;Run30;Run24;Run22,2160;4000;4000;3000,8;13;16;22,0.008;0.02;0.02;0.04,39038;24111;27965;34192,326;435;543;1087,1087.0,1,39038.0,24111.0,1.6190950188710547,1,1,6
