step_mode,model,baseline_mean_life_abs_error,enhanced_mean_life_abs_error,enhanced_minus_baseline_life_abs_error,enhanced_life_error_change_pct,baseline_mean_pressure_mae,enhanced_mean_pressure_mae,enhanced_minus_baseline_pressure_mae,baseline_mean_wear_mae_um,enhanced_mean_wear_mae_um,enhanced_minus_baseline_wear_mae_um
固定250,LSTM,477.51925702608605,1289.9353679352025,812.4161109091165,1.701326384131008,3.5576308965682983,7.723174810409546,4.165543913841248,0.0358456146607487,0.0772149117599661,0.041369297099217404
固定250,GRU,491.7030084489416,437.21753901336433,-54.48546943557727,-0.1108097133825754,3.26245391368866,2.8807677030563354,-0.38168621063232466,0.0403127833177198,0.035444672574610016,-0.004868110743109784
固定250,1D-CNN,657.737251483205,1530.2425617089957,872.5053102257907,1.3265256122536488,4.992269814014435,5.323152005672455,0.33088219165802,0.0482156623198722,0.11326025177648094,0.06504458945660874
固定250,Transformer,855.2194307735826,1260.1325641472786,404.9131333736959,0.4734611010971005,2.2769069969654083,7.992774724960327,5.715867727994919,0.0486591568638775,0.08343833104928694,0.03477917418540944
固定250,FNN,2394.3094676309765,1103.0785524946696,-1291.230915136307,-0.5392915713664622,5.348723649978638,6.0644142627716064,0.7156906127929688,0.1358419993449266,0.08136178678752394,-0.054480212557402666
