round_id,description,seq_len,d_model,nhead,num_layers,dim_ff,dropout,epochs,learning_rate,weight_decay,grad_clip_norm,use_validation,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_actual_epochs
seq12_base,seq_len=12 基础配置,12,32,4,2,64,0.0,1200,0.001,1e-06,,False,1.6883341372013092,2.009709894657135,0.01764100743457675,0.10296271478850919,2853.168294601117,1695.2858737040333,0.05554903730297081,7359.781110143413,662.3203208529885,1200.0
seq12_mild,seq_len=12 + 温和训练策略,12,32,4,2,64,0.0,1800,0.0005,1e-05,1.0,False,1.543390303850174,1.9610371887683868,0.01871752506121993,0.0992854739810593,2902.38182393,1302.6420860623402,0.05375099295317056,8153.628438015119,850.6146855801999,1800.0
seq20_mild,seq_len=20 + 温和训练策略,20,64,4,2,128,0.0,1800,0.0005,1e-05,1.0,False,2.320252627134323,2.756940931081772,0.029390729730948806,0.08982605027688537,2909.1814718206842,1164.8988405939635,0.048079998604817556,9178.152133510725,128.77607258408534,1800.0
seq10_d96_ff192_l2,"seq_len=10, d_model=96, ff=192, 2层",10,96,4,2,192,0.0,1200,0.001,1e-06,,False,2.9119755029678345,3.1686885356903076,0.03566241916269064,0.08510169464319634,2923.5447421717354,612.717524454134,0.04856438590061464,10189.298985088884,279.4449346897891,1200.0
seq15_d64_ff256_l3,"seq_len=15, d_model=64, ff=256, 3层",15,64,4,3,256,0.0,1200,0.001,1e-06,,False,2.0145883560180664,2.3042138814926147,0.026661047129891813,0.09536179029090552,3286.878374940812,1190.8515460091876,0.05731954677725991,10085.973606198233,679.8368015466403,1200.0
seq15_d64_ff128_l2,"seq_len=15, d_model=64, ff=128, 2层",15,64,4,2,128,0.0,1200,0.001,1e-06,,False,4.043636649847031,4.321235358715057,0.04803605913184583,0.08497172968963337,3290.533847737639,1232.1794483032318,0.056885529480812616,10146.941143602104,550.8353507419888,1200.0
seq6_low_lr,seq_len=6 + 低学习率长训练,6,32,4,2,64,0.0,2200,0.0003,1e-05,1.0,False,3.1906051635742188,3.5873667895793915,0.03333363262936473,0.10833934215447308,3431.792605169824,1438.2248516903765,0.0615163944355067,10431.93676324335,418.78395405519404,2200.0
seq12_d64_ff256_l3,"seq_len=12, d_model=64, ff=256, 3层",12,64,4,3,256,0.0,1200,0.001,1e-06,,False,1.6439473927021027,1.996537297964096,0.01912011206150055,0.11598955397663228,3468.2648953570188,1963.4034752073494,0.06526234404921377,9098.164998850603,848.0876321627729,1200.0
seq10_d64_ff256_l3,"seq_len=10, d_model=64, ff=256, 3层",10,64,4,3,256,0.0,1200,0.001,1e-06,,False,2.8532333076000214,3.319042444229126,0.03208883386105299,0.11096328284609394,3475.8262802375957,1413.8080860827577,0.061763139963223884,10782.10374585331,293.58520293155743,1200.0
seq10_d64_dropout,"seq_len=10, d_model=64 + dropout=0.1",10,64,4,2,128,0.1,1800,0.0005,0.0001,1.0,False,3.1134790182113647,3.5110464692115784,0.03425547596998513,0.10011974759640141,3476.8763010460725,1702.6164827804078,0.06273223590436425,10434.284206456992,67.9880321664823,1800.0
