model,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_native_actual_step,mean_used_actual_step,run_count,life_error_win_count,life_error_delta_vs_T0,life_error_change_pct_vs_T0
T0_baseline_5d,2.5132264643907547,2.927020847797394,0.01950170146301385,0.06965547611203934,1134.0532860316166,923.6188353961406,0.033061175309141114,2515.227327409309,23.75195431058819,434.5,250.0,8,8,0.0,0.0
T1_R1_only,2.27844674885273,2.779135137796402,0.0181760637206025,0.07342980464775123,948.2002214139548,980.838181747462,0.031145116218075815,1822.7069820836405,304.2810534823948,434.5,250.0,8,1,-185.85306461766186,-0.16388389056039507
T2_slow_only_5d,2.017772912979126,2.483245849609375,0.016656493360642288,0.05774240681520934,964.5232777019546,1043.6825103058654,0.027840631562336075,1973.11423029461,46.07063377157829,434.5,250.0,8,4,-169.530008329662,-0.14949033737461928
T3_R1_plus_slow,2.8731186389923096,3.346936509013176,0.02325953391846265,0.05975357881997782,666.5399560524797,652.1504584438699,0.021873459491516013,1217.0267939362675,66.41586923984869,434.5,250.0,8,3,-467.51332997913687,-0.41224987902914373
