train/eval | 01_五模型基准对比 | FNN | seed=20260425 | epochs=1600
    epoch  400 | loss=1.305512e-03 | data=1.254511e-03
    epoch  600 | loss=7.863782e-04 | data=7.344845e-04
    epoch  800 | loss=5.953014e-04 | data=5.454902e-04
    epoch 1000 | loss=4.934343e-04 | data=4.480414e-04
    epoch 1200 | loss=4.319942e-04 | data=3.916352e-04
    epoch 1400 | loss=3.913004e-04 | data=3.560252e-04
    epoch 1600 | loss=3.618085e-04 | data=3.315111e-04
train/eval | 01_五模型基准对比 | LSTM | seed=20260426 | epochs=1600
    epoch    1 | loss=1.066742e+00 | data=1.066737e+00
    epoch  200 | loss=5.430403e-03 | data=5.384364e-03
    epoch  400 | loss=1.845697e-03 | data=1.795907e-03
    epoch  600 | loss=9.606586e-04 | data=9.149828e-04
    epoch  800 | loss=6.517774e-04 | data=6.063862e-04
    epoch 1000 | loss=5.164655e-04 | data=4.723167e-04
    epoch 1200 | loss=4.415537e-04 | data=4.007352e-04
    epoch 1400 | loss=3.942832e-04 | data=3.581055e-04
    epoch 1600 | loss=3.610594e-04 | data=3.297930e-04
train/eval | 01_五模型基准对比 | LSTM | seed=20260427 | epochs=1600
    epoch    1 | loss=1.052208e+00 | data=1.052207e+00
    epoch  200 | loss=3.603148e-03 | data=3.544793e-03
    epoch  400 | loss=1.338026e-03 | data=1.271929e-03
    epoch  600 | loss=7.658209e-04 | data=6.943861e-04
    epoch  800 | loss=5.772557e-04 | data=5.089636e-04
    epoch 1000 | loss=4.857001e-04 | data=4.259828e-04
    epoch 1200 | loss=4.255571e-04 | data=3.755830e-04
    epoch 1400 | loss=3.824566e-04 | data=3.416319e-04
    epoch 1600 | loss=3.509984e-04 | data=3.183410e-04
train/eval | 01_五模型基准对比 | LSTM | seed=20260428 | epochs=1600
    epoch    1 | loss=1.012363e+00 | data=1.012363e+00
    epoch  200 | loss=4.463031e-03 | data=4.405738e-03
    epoch  400 | loss=1.605678e-03 | data=1.549965e-03
    epoch  600 | loss=8.784283e-04 | data=8.214008e-04
    epoch  800 | loss=6.484523e-04 | data=5.982661e-04
    epoch 1000 | loss=5.359483e-04 | data=4.946715e-04
    epoch 1200 | loss=4.613129e-04 | data=4.282800e-04
    epoch 1400 | loss=4.090546e-04 | data=3.830424e-04
    epoch 1600 | loss=3.726677e-04 | data=3.525715e-04
