test_case,model,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
试验7.xlsx,Transformer_R4,32.31024169921875,38.32884216308594,0.14702478051185608,0.395106523269331,17709.089259480672,14533.749424829995,3175.3398346506765,0.21848043074320578
试验12.xlsx,Transformer_R4,24.84232521057129,25.543760299682617,0.1698770821094513,0.36198622651945156,12907.077487028419,15664.267528137914,2757.1900411094957,0.17601780843928524
试验11.xlsx,Transformer_R4,3.5916569232940674,4.252277851104736,0.040967851877212524,0.11077847899076063,21947.165202608507,23918.706127369696,1971.5409247611897,0.08242673806277484
试验6.xlsx,Transformer_R4,20.803308486938477,29.46563148498535,0.2804914712905884,0.14340461079566214,33732.418399979295,37604.83980051039,3872.4214005310932,0.10297667590325794
试验4.xlsx,Transformer_R4,35.09531784057617,50.10136795043945,0.23200784623622894,0.11821241442445159,33215.70388874278,38722.98916828896,5507.28527954618,0.14222262789713064
试验8.xlsx,Transformer_R4,19.55360984802246,24.743898391723633,0.19921687245368958,0.12518331998153157,38257.86459080465,41489.80405662315,3231.9394658184974,0.07789719762011199
试验14.xlsx,Transformer_R4,3.8214566707611084,4.626425266265869,0.055824603885412216,0.47322333500924657,46053.88897967023,72675.52147268367,26621.632493013443,0.36630810420837
试验3.xlsx,Transformer_R4,96.50650787353516,122.4789810180664,1.3969818353652954,0.3833251992815638,55589.834351620135,79634.20652173914,24044.372170119,0.3019352263346178
试验13.xlsx,Transformer_R4,4.394352436065674,5.119259834289551,0.060871463268995285,0.43486613674764674,46440.59318385024,79652.95293344899,33212.359749598756,0.416963320585843
试验1.xlsx,Transformer_R4,12.412342071533203,14.501181602478027,0.30089637637138367,0.5619375179512781,115839.00155311081,160991.85166086955,45152.85010775874,0.2804666797849716
