variant,seed_count,mean_pressure_mae,std_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,std_wear_mae_um,mean_life_abs_error,std_life_abs_error,mean_life_rel_error,median_life_abs_error,max_life_abs_error,min_life_abs_error,row_count,life_error_win_count,delta_vs_baseline,model
Enhanced Transformer,1,12.067479610443115,0.0,14.669689416885376,0.0955557152628898,0.1734350743911293,0.0,3047.886169502427,0.0,0.0837858492067135,2006.244576184794,7677.058697566768,501.996828073352,4,3,-5540.0475609067225,Enhanced Transformer
Transformer,1,14.48327112197876,0.0,17.099495768547058,0.10645045526325697,0.17304285842953845,0.0,3145.4079967721127,0.0,0.10178487466522262,3343.470633602514,5076.634585924097,818.056133959326,4,0,-5442.525733637037,Transformer
1D-CNN,1,19.89994192123413,0.0,22.93345022201538,0.14693618007004258,0.30106500186346574,0.0,5759.41253636053,0.0,0.18345508357702064,4345.42269319156,12767.944765158907,1578.8599939000924,4,1,-2828.5211940486197,1D-CNN
FNN,1,22.540862321853638,0.0,25.766937017440796,0.1559166349470615,0.3035631746686748,0.0,8587.93373040915,0.0,0.24301505835277798,3326.8148743545953,25402.907446992453,2295.197725934955,4,0,0.0,FNN
GRU,1,34.489420890808105,0.0,37.4768443107605,0.22498812898993492,0.5573614478058806,0.0,14117.670834654515,0.0,0.40215252724243283,7608.64365941669,40273.73963391107,979.6563858736116,4,0,5529.737104245365,GRU
LSTM,1,43.639368295669556,0.0,50.008556842803955,0.27848085202276707,0.8136592774311844,0.0,15407.97572746187,0.0,0.46065517814637147,8781.229720046384,41426.58435758446,2642.8591121702448,4,0,6820.04199705272,LSTM
