"model","baseline17_mean_pressure_mae","full30_mean_pressure_mae","delta_pressure_mae","baseline17_mean_wear_mae_um","full30_mean_wear_mae_um","delta_wear_mae_um","baseline17_mean_life_abs_error","full30_mean_life_abs_error","delta_life_abs_error","life_error_reduction_ratio"
"LSTM","16.4875934720039","2.27743846178055","-14.2101550102234","0.204408054491758","0.0857172864325148","-0.118690768059243","7044.28295580131","2901.5712812285","-4142.71167457282","0.588095580567372"
"Transformer","12.5524355173111","1.89714823663235","-10.6552872806787","0.251568474055144","0.107631069456892","-0.143937404598251","9110.52465184262","3374.16862069923","-5736.3560311434","0.629640580576576"
"FNN","21.5486669540405","4.49924013018608","-17.0494268238544","0.505546382012107","0.174990673834852","-0.330555708177255","15131.4321159695","4238.59686243451","-10892.835253535","0.71988131526816"
"GRU","15.2569053173065","3.20359140634537","-12.0533139109612","0.372449280172655","0.143984453413956","-0.2284648267587","9744.80109954025","4846.4409048591","-4898.36019468115","0.502663948155109"
"1D-CNN","33.4521639347076","3.9765419960022","-29.4756219387054","0.658733958062278","0.158398614412094","-0.500335343650183","17613.2155706758","5478.78143332107","-12134.4341373547","0.688939171195822"
