model,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,life_error_win_count
LSTM,2.277438461780548,2.687886595726013,0.0232327152043581,0.08571728643251485,2901.5712812284955,1111.8758666403191,0.05122799002511025,8730.949135924922,651.5842557084216,2
Transformer,1.897148236632347,2.15253646671772,0.021931389346718788,0.10763106945689216,3374.1686206992254,1832.734716039271,0.06323460117828097,9386.28917822757,444.9158724907902,0
FNN,4.499240130186081,6.058386564254761,0.037425295915454626,0.17499067383485173,4238.596862434507,3358.0275107982197,0.0853823285863697,9211.32710981206,1027.0053183295277,0
GRU,3.2035914063453674,4.115929007530212,0.032948908396065235,0.143984453413956,4846.440904859101,1480.3161811071986,0.0792924837969116,15945.22190777988,479.90934944212495,1
1D-CNN,3.9765419960021973,4.830315947532654,0.044056329410523176,0.15839861441209444,5478.781433321067,1365.6193424789617,0.08918970334857865,18751.524792123913,432.36225620243204,1
