model,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_native_actual_step,mean_used_actual_step,step_capped_count,life_error_win_count
1D-CNN,4.992269814014435,5.779420971870422,0.03885814268141985,0.036695443122198905,418.0837855989839,418.50146092041723,0.01545703177621744,711.6096720417481,123.7225485133531,434.75,434.75,0,3
GRU,3.2624539136886597,3.6060057878494263,0.025894919876009226,0.05329152368585587,779.6710043343237,836.8601456788274,0.02692421602914511,1046.863748302716,398.099977676924,434.75,434.75,0,0
LSTM,3.5576308965682983,3.803396701812744,0.02593062026426196,0.05480580871785434,888.7139847556455,1037.40190916147,0.030777779681553406,1330.3446578712828,149.70746282835898,434.75,434.75,0,0
Transformer,2.2769069969654083,2.6293676495552063,0.018230250803753734,0.052266312109780354,891.3155740041611,784.0400633269073,0.027982056668480488,1412.5757822229862,584.6063871398437,434.75,434.75,0,1
FNN,5.348723649978638,6.25611487030983,0.03529300889931619,0.14272619511746776,2509.918770366755,2004.735697051481,0.07462238987773144,4737.395135778483,1292.8085515855746,434.75,434.75,0,0
