sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0.0,0,73.29616525620386,2200.0,10.0,0.01,0.0,210.0,8.6848e-07
0.401569,1895,70.51428882800728,2200.0,10.0,0.01,0.0001338156516172248,210.0,8.6848e-07
0.803138,3791,67.9251084346423,2200.0,10.0,0.01,0.0002626204103625546,210.0,8.6848e-07
1.204708,5686,65.51781878996215,2200.0,10.0,0.01,0.0003866302083455804,210.0,8.6848e-07
1.606277,7582,63.27727816566236,2200.0,10.0,0.01,0.0005063081769250417,210.0,8.6848e-07
2.007846,9477,61.194136235040716,2200.0,10.0,0.01,0.0006218325045717162,210.0,8.6848e-07
2.409415,11372,59.256276222172616,2200.0,10.0,0.01,0.0007335536728868908,210.0,8.6848e-07
2.810985,13268,57.45264860609737,2200.0,10.0,0.01,0.000841794009559081,210.0,8.6848e-07
3.212554,15163,55.77572640547995,2200.0,10.0,0.01,0.0009466844029853542,210.0,8.6848e-07
3.614123,17059,54.214961865750986,2200.0,10.0,0.01,0.0010485670015750732,210.0,8.6848e-07
4.015692,18954,52.76384153288359,2200.0,10.0,0.01,0.0011475464014401215,210.0,8.6848e-07
4.417262,20849,51.41392483945677,2200.0,10.0,0.01,0.0012438765138255467,210.0,8.6848e-07
4.818831,22745,50.15751466973449,2200.0,10.0,0.01,0.0013377916379112404,210.0,8.6848e-07
5.2204,24640,48.98936771527975,2200.0,10.0,0.01,0.0014293634204945445,210.0,8.6848e-07
5.621969,26536,47.90213639170726,2200.0,10.0,0.01,0.0015188497330494914,210.0,8.6848e-07
6.023538,28431,46.89128341548553,2200.0,10.0,0.01,0.001606303907121319,210.0,8.6848e-07
6.425108,30327,45.950450573278864,2200.0,10.0,0.01,0.0016919577589572545,210.0,8.6848e-07
6.826677,32222,45.07571153840009,2200.0,10.0,0.01,0.0017758487710460204,210.0,8.6848e-07
7.228246,34117,44.26197831529679,2200.0,10.0,0.01,0.0018581427858902762,210.0,8.6848e-07
7.629815,36013,43.50461106298693,2200.0,10.0,0.01,0.0019389938237898232,210.0,8.6848e-07
8.031385,37908,42.80044910178196,2200.0,10.0,0.01,0.0020184195053026058,210.0,8.6848e-07
8.432954,39804,42.14506328908887,2200.0,10.0,0.01,0.0020966008443244516,210.0,8.6848e-07
8.834523,41699,41.53571853883147,2200.0,10.0,0.01,0.0021735444209326597,210.0,8.6848e-07
9.236092,43594,40.96887054435874,2200.0,10.0,0.01,0.002249375526451416,210.0,8.6848e-07
9.637662,45490,40.441287184281705,2200.0,10.0,0.01,0.002324211216837601,210.0,8.6848e-07
10.039231,47385,39.95076672357004,2200.0,10.0,0.01,0.002398044236312599,210.0,8.6848e-07
10.4408,49281,39.49422381370314,2200.0,10.0,0.01,0.0024710202097648977,210.0,8.6848e-07
10.842369,51176,39.06975318890963,2200.0,10.0,0.01,0.002543124190597645,210.0,8.6848e-07
11.243938,53071,38.674885878942426,2200.0,10.0,0.01,0.002614453222112777,210.0,8.6848e-07
11.645508,54967,38.30737038235703,2200.0,10.0,0.01,0.0026850986108408804,210.0,8.6848e-07
12.047077,56862,37.96567296665873,2200.0,10.0,0.01,0.0027550357721035372,210.0,8.6848e-07
12.448646,58758,37.647644372641324,2200.0,10.0,0.01,0.002824385678744477,210.0,8.6848e-07
12.850215,60653,37.35195738881735,2200.0,10.0,0.01,0.0028931183886477707,210.0,8.6848e-07
13.251785,62548,37.07689212617003,2200.0,10.0,0.01,0.002961311267493371,210.0,8.6848e-07
13.653354,64444,36.82088018483305,2200.0,10.0,0.01,0.003029037684716218,210.0,8.6848e-07
14.054923,66339,36.58285316405292,2200.0,10.0,0.01,0.0030962609842958115,210.0,8.6848e-07
14.456492,68235,36.361313886086315,2200.0,10.0,0.01,0.0031630849664181426,210.0,8.6848e-07
14.858062,70130,36.15533781307665,2200.0,10.0,0.01,0.0032294692430623185,210.0,8.6848e-07
15.259631,72025,35.963726867309795,2200.0,10.0,0.01,0.0032954774724422075,210.0,8.6848e-07
15.6612,73921,35.785388498680206,2200.0,10.0,0.01,0.0033611705289803727,210.0,8.6848e-07
16.062769,75816,35.61957845734384,2200.0,10.0,0.01,0.0034265033477381877,210.0,8.6848e-07
16.464338,77712,35.465253806651326,2200.0,10.0,0.01,0.0034915677663980584,210.0,8.6848e-07
