variant,seed_count,case_count,mean_pressure_mae,mean_wear_mae_um,mean_life_abs_error,std_life_abs_error,delta_vs_fixed_mean,paired_delta_vs_fixed,win_rate_vs_fixed,mean_k_factor,min_k_factor,max_k_factor
T4_dynk_s1_c0p1_d0p1,5,4,3.0603525817394255,0.049417155917675135,415.29110636177484,357.55917667672736,-191.9967288868122,-191.99672888681215,0.25,0.9916529064822843,0.9261520850382645,1.0
T4_dynk_s1_c0p15_d0p1,5,4,3.0603525817394255,0.049417155917675135,415.29110636177484,357.55917667672736,-191.9967288868122,-191.99672888681215,0.25,0.9916529064822843,0.9261520850382645,1.0
T4_dynk_s1_c0p2_d0p1,5,4,3.0603525817394255,0.049417155917675135,415.29110636177484,357.55917667672736,-191.9967288868122,-191.99672888681215,0.25,0.9916529064822843,0.9261520850382645,1.0
T4_dynk_s1_c0p05_d0p1,5,4,3.0603525817394255,0.043178196227824935,429.8592491283638,348.91666414506346,-177.42858612022326,-177.4285861202232,0.25,0.9933858638777238,0.95,1.0
T4_dynk_s0p75_c0p1_d0p1,5,4,3.0603525817394255,0.04366096684888773,434.5182047641483,346.8357073630425,-172.76963048443872,-172.76963048443866,0.25,0.9936747354545409,0.9446140637786984,1.0
T4_dynk_s0p75_c0p15_d0p1,5,4,3.0603525817394255,0.04366096684888773,434.5182047641483,346.8357073630425,-172.76963048443872,-172.76963048443866,0.25,0.9936747354545409,0.9446140637786984,1.0
T4_dynk_s0p75_c0p2_d0p1,5,4,3.0603525817394255,0.04366096684888773,434.5182047641483,346.8357073630425,-172.76963048443872,-172.76963048443866,0.25,0.9936747354545409,0.9446140637786984,1.0
T4_dynk_s0p75_c0p05_d0p1,5,4,3.0603525817394255,0.042837198422369265,444.09156834242515,340.45113244213604,-163.1962669061619,-163.19626690616187,0.25,0.9940026594568732,0.95,1.0
T4_dynk_s0p5_c0p05_d0p1,5,4,3.0603525817394255,0.04305191510401383,492.08275804526386,319.7924728335662,-115.20507720332319,-115.20507720332316,0.25,0.9957478672731996,0.9630760425191323,1.0
T4_dynk_s0p5_c0p1_d0p1,5,4,3.0603525817394255,0.04305191510401383,492.08275804526386,319.7924728335662,-115.20507720332319,-115.20507720332316,0.25,0.9957478672731996,0.9630760425191323,1.0
T4_dynk_s0p5_c0p15_d0p1,5,4,3.0603525817394255,0.04305191510401383,492.08275804526386,319.7924728335662,-115.20507720332319,-115.20507720332316,0.25,0.9957478672731996,0.9630760425191323,1.0
T4_dynk_s0p5_c0p2_d0p1,5,4,3.0603525817394255,0.04305191510401383,492.08275804526386,319.7924728335662,-115.20507720332319,-115.20507720332316,0.25,0.9957478672731996,0.9630760425191323,1.0
T3_fixed_k,5,4,3.0603525817394255,0.05526335038640255,607.287835248587,354.89399459228395,0.0,,,1.0,1.0,1.0
