model,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_native_actual_step,mean_used_actual_step,run_count,life_error_win_count
Transformer_R1+slow,2.8731186389923096,3.346936509013176,0.02325953391846265,0.05975357881997782,666.5399560524797,652.1504584438699,0.021873459491516013,1217.0267939362675,66.41586923984869,434.5,250.0,8,8
LSTM,2.137330114841461,2.49173903465271,0.01743339572567489,0.053243490299835584,826.0332066997671,857.1587219840549,0.0245466972194654,2050.309181604025,40.65436014745137,434.5,250.0,8,1
Transformer,2.5132264643907547,2.927020847797394,0.01950170146301385,0.06965547611203934,1134.0532860316166,923.6188353961406,0.033061175309141114,2515.227327409309,23.75195431058819,434.5,250.0,8,2
GRU,2.4003746509552,2.803514704108238,0.019523405004292664,0.06958654018347106,1134.39720905373,735.7390361776052,0.03392843953974479,2690.8703081049243,132.58212792463746,434.5,250.0,8,2
FNN,4.442977577447891,5.08866274356842,0.03428860986605281,0.08129712855518112,1369.9522164291861,1126.41139034765,0.0395141189877933,3354.288735917755,179.77601818097173,434.5,250.0,8,0
1D-CNN,4.95282569527626,5.772460997104645,0.03915467741899189,0.09992356446346369,1441.6761910077607,1496.7734058105234,0.042626808756887284,3442.848989476872,74.62244047814238,434.5,250.0,8,3
